Wavelength,Transmission
1.04251,0.100633
1.04351,0.100832
1.04452,0.101029
1.04552,0.101224
1.04652,0.101416
1.04752,0.101606
1.04852,0.101795
1.04952,0.10198
1.05052,0.102164
1.05152,0.102346
1.05252,0.102525
1.05352,0.102702
1.05452,0.102877
1.05552,0.10305
1.05653,0.103221
1.05753,0.10339
1.05853,0.103556
1.05953,0.10372
1.06053,0.103882
1.06153,0.104042
1.06253,0.1042
1.06353,0.104356
1.06453,0.10451
1.06553,0.104661
1.06653,0.10481
1.06753,0.104958
1.06853,0.105103
1.06954,0.105246
1.07054,0.105387
1.07154,0.105526
1.07254,0.105663
1.07354,0.105797
1.07454,0.10593
1.07554,0.106061
1.07654,0.10619
1.07754,0.106316
1.07854,0.106441
1.07954,0.106564
1.08054,0.106684
1.08155,0.106803
1.08255,0.10692
1.08355,0.107035
1.08455,0.107148
1.08555,0.107259
1.08655,0.107368
1.08755,0.107475
1.08855,0.10758
1.08955,0.107684
1.09055,0.107786
1.09155,0.107885
1.09255,0.107983
1.09355,0.108079
1.09456,0.108174
1.09556,0.108266
1.09656,0.108357
1.09756,0.108446
1.09856,0.108533
1.09956,0.108619
1.10056,0.108702
1.10156,0.108784
1.10256,0.108865
1.10356,0.108944
1.10456,0.109021
1.10556,0.109096
1.10657,0.10917
1.10757,0.109242
1.10857,0.109313
1.10957,0.109382
1.11057,0.109449
1.11157,0.109515
1.11257,0.109579
1.11357,0.109642
1.11457,0.109704
1.11557,0.109763
1.11657,0.109822
1.11757,0.109879
1.11857,0.109934
1.11958,0.109988
1.12058,0.110041
1.12158,0.110092
1.12258,0.110142
1.12358,0.110191
1.12458,0.110238
1.12558,0.110284
1.12658,0.110328
1.12758,0.110371
1.12858,0.110413
1.12958,0.110454
1.13058,0.110493
1.13159,0.110531
1.13259,0.110568
1.13359,0.110604
1.13459,0.110639
1.13559,0.110672
1.13659,0.110704
1.13759,0.110735
1.13859,0.110765
1.13959,0.110794
1.14059,0.110822
1.14159,0.110848
1.14259,0.110874
1.14359,0.110898
1.1446,0.110922
1.1456,0.110944
1.1466,0.110965
1.1476,0.110986
1.1486,0.111005
1.1496,0.111023
1.1506,0.111041
1.1516,0.111057
1.1526,0.111073
1.1536,0.111088
1.1546,0.111101
1.1556,0.111114
1.15661,0.111126
1.15761,0.111137
1.15861,0.111148
1.15961,0.111157
1.16061,0.111166
1.16161,0.111173
1.16261,0.11118
1.16361,0.111187
1.16461,0.111192
1.16561,0.111197
1.16661,0.111201
1.16761,0.111204
1.16861,0.111206
1.16962,0.111208
1.17062,0.111209
1.17162,0.111209
1.17262,0.111209
1.17362,0.111208
1.17462,0.111206
1.17562,0.111204
1.17662,0.111201
1.17762,0.111198
1.17862,0.111193
1.17962,0.111189
1.18062,0.111183
1.18163,0.111177
1.18263,0.111171
1.18363,0.111164
1.18463,0.111156
1.18563,0.111148
1.18663,0.111139
1.18763,0.11113
1.18863,0.11112
1.18963,0.11111
1.19063,0.1111
1.19163,0.111088
1.19263,0.111077
1.19363,0.111065
1.19464,0.111052
1.19564,0.111039
1.19664,0.111026
1.19764,0.111012
1.19864,0.110997
1.19964,0.110983
1.20064,0.110968
1.20164,0.110952
1.20264,0.110936
1.20364,0.11092
1.20464,0.110903
1.20564,0.110886
1.20665,0.110869
1.20765,0.110851
1.20865,0.110833
1.20965,0.110815
1.21065,0.110796
1.21165,0.110777
1.21265,0.110758
1.21365,0.110738
1.21465,0.110718
1.21565,0.110698
1.21665,0.110677
1.21765,0.110657
1.21865,0.110635
1.21966,0.110614
1.22066,0.110593
1.22166,0.110571
1.22266,0.110549
1.22366,0.110526
1.22466,0.110504
1.22566,0.110481
1.22666,0.110458
1.22766,0.110434
1.22866,0.110411
1.22966,0.110387
1.23066,0.110363
1.23167,0.110339
1.23267,0.110315
1.23367,0.11029
1.23467,0.110265
1.23567,0.11024
1.23667,0.110215
1.23767,0.11019
1.23867,0.110165
1.23967,0.110139
1.24067,0.110113
1.24167,0.110087
1.24267,0.110061
1.24367,0.110035
1.24468,0.110009
1.24568,0.109982
1.24668,0.109956
1.24768,0.109929
1.24868,0.109902
1.24968,0.109875
1.25068,0.109848
1.25168,0.10982
1.25268,0.109793
1.25368,0.109765
1.25468,0.109738
1.25568,0.10971
1.25669,0.109682
1.25769,0.109654
1.25869,0.109626
1.25969,0.109598
1.26069,0.10957
1.26169,0.109541
1.26269,0.109513
1.26369,0.109484
1.26469,0.109456
1.26569,0.109427
1.26669,0.109398
1.26769,0.109369
1.26869,0.10934
1.2697,0.109311
1.2707,0.109282
1.2717,0.109253
1.2727,0.109224
1.2737,0.109195
1.2747,0.109165
1.2757,0.109136
1.2767,0.109106
1.2777,0.109077
1.2787,0.109047
1.2797,0.109018
1.2807,0.108988
1.28171,0.108958
1.28271,0.108928
1.28371,0.108899
1.28471,0.108869
1.28571,0.108839
1.28671,0.108809
1.28771,0.108779
1.28871,0.108749
1.28971,0.108719
1.29071,0.108689
1.29171,0.108658
1.29271,0.108628
1.29371,0.108598
1.29472,0.108568
1.29572,0.108538
1.29672,0.108507
1.29772,0.108477
1.29872,0.108447
1.29972,0.108416
1.30072,0.108386
1.30172,0.108355
1.30272,0.108325
1.30372,0.108294
1.30472,0.108264
1.30572,0.108233
1.30673,0.108203
1.30773,0.108172
1.30873,0.108142
1.30973,0.108111
1.31073,0.108081
1.31173,0.10805
1.31273,0.108019
