File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1.35e-006 1.25e-006.mat,1.35e-06,1.25e-06,0.7878627178348786
E_field_data_1.4e-006 6.5e-007.mat,1.4e-06,6.5e-07,0.6557096947896967
E_field_data_1.1e-006 1.2e-006.mat,1.1e-06,1.2e-06,0.7780281564524127
E_field_data_1.1e-006 1.3e-006.mat,1.1e-06,1.3e-06,0.7913001029785597
E_field_data_1.25e-006 3.5e-007.mat,1.25e-06,3.5e-07,0.5143275554040229
E_field_data_1.25e-006 1.25e-006.mat,1.25e-06,1.25e-06,0.7880377344754358
E_field_data_1.05e-006 3e-007.mat,1.05e-06,3e-07,0.46710961140057705
E_field_data_1.35e-006 6e-007.mat,1.35e-06,6e-07,0.6372219727125387
E_field_data_1.35e-006 7e-007.mat,1.35e-06,7e-07,0.6715807838077527
E_field_data_1.5e-006 1.15e-006.mat,1.5e-06,1.15e-06,0.7798165296274845
E_field_data_1.15e-006 3.5e-007.mat,1.15e-06,3.5e-07,0.5138369360640151
E_field_data_1.2e-006 4.5e-007.mat,1.2e-06,4.5e-07,0.5741831760334521
E_field_data_1e-006 4.5e-007.mat,1e-06,4.5e-07,0.5739635565698903
E_field_data_1e-006 1.15e-006.mat,1e-06,1.15e-06,0.7669375088825592
E_field_data_1.45e-006 3e-007.mat,1.45e-06,3e-07,0.4685717938119324
E_field_data_1.45e-006 1.25e-006.mat,1.45e-06,1.25e-06,0.7887873588999533
E_field_data_1.5e-006 1.2e-006.mat,1.5e-06,1.2e-06,0.7826716169201324
E_field_data_1.5e-006 1.3e-006.mat,1.5e-06,1.3e-06,0.7997587351217483
E_field_data_1.35e-006 5.5e-007.mat,1.35e-06,5.5e-07,0.6164289781345906
E_field_data_1.4e-006 3.5e-007.mat,1.4e-06,3.5e-07,0.5144552762223381
E_field_data_1.25e-006 6.5e-007.mat,1.25e-06,6.5e-07,0.6548166503192678
E_field_data_1.15e-006 5e-007.mat,1.15e-06,5e-07,0.5999378925868516
E_field_data_1.15e-006 4e-007.mat,1.15e-06,4e-07,0.539827992891823
E_field_data_1e-006 9.5e-007.mat,1e-06,9.5e-07,0.7242974371928499
E_field_data_1.45e-006 9e-007.mat,1.45e-06,9e-07,0.7315022099028984
E_field_data_1.45e-006 8e-007.mat,1.45e-06,8e-07,0.7003759407124477
E_field_data_1.4e-006 7e-007.mat,1.4e-06,7e-07,0.6717983804702793
E_field_data_1.4e-006 6e-007.mat,1.4e-06,6e-07,0.637723473609569
E_field_data_1.2e-006 9.5e-007.mat,1.2e-06,9.5e-07,0.7314925821569881
E_field_data_1.5e-006 6.5e-007.mat,1.5e-06,6.5e-07,0.6561774151888397
E_field_data_1.5e-006 1e-006.mat,1.5e-06,1e-06,0.7442595037131908
E_field_data_1.35e-006 8.5e-007.mat,1.35e-06,8.5e-07,0.7114753312322789
E_field_data_1.25e-006 1e-006.mat,1.25e-06,1e-06,0.7414560345534643
E_field_data_1.25e-006 1.2e-006.mat,1.25e-06,1.2e-06,0.7772465060563151
