Wavelength(um),R_with,R_without
0.663211,0.0190506,0.0350607
0.664211,0.0199635,0.0350691
0.665212,0.0208941,0.0350774
0.666213,0.0218419,0.0350856
0.667214,0.0228059,0.0350939
0.668215,0.0237853,0.0351021
0.669215,0.0247793,0.0351102
0.670216,0.0257871,0.0351183
0.671217,0.0268076,0.0351264
0.672218,0.0278401,0.0351344
0.673219,0.0288836,0.0351424
0.674219,0.0299371,0.0351503
0.67522,0.0309997,0.0351581
0.676221,0.0320706,0.0351658
0.677222,0.0331486,0.0351735
0.678223,0.0342328,0.035181
0.679223,0.0353224,0.0351885
0.680224,0.0364162,0.0351959
0.681225,0.0375134,0.0352032
0.682226,0.0386131,0.0352104
0.683227,0.0397141,0.0352175
0.684227,0.0408158,0.0352245
0.685228,0.041917,0.0352314
0.686229,0.043017,0.0352382
0.68723,0.0441149,0.0352448
0.688231,0.0452098,0.0352513
0.689231,0.046301,0.0352577
0.690232,0.0473875,0.035264
0.691233,0.0484687,0.0352701
0.692234,0.0495439,0.0352762
0.693235,0.0506123,0.035282
0.694235,0.0516733,0.0352878
0.695236,0.0527263,0.0352934
0.696237,0.0537706,0.0352988
0.697238,0.0548059,0.0353041
0.698239,0.0558314,0.0353093
0.699239,0.0568469,0.0353143
0.70024,0.0578518,0.0353191
0.701241,0.0588459,0.0353238
0.702242,0.0598286,0.0353284
0.703243,0.0607999,0.0353328
0.704243,0.0617593,0.035337
0.705244,0.0627068,0.0353411
0.706245,0.063642,0.035345
0.707246,0.0645649,0.0353487
0.708247,0.0654753,0.0353523
0.709247,0.0663733,0.0353558
0.710248,0.0672586,0.035359
0.711249,0.0681314,0.0353621
0.71225,0.0689917,0.0353651
0.713251,0.0698395,0.0353679
0.714251,0.0706748,0.0353705
0.715252,0.0714978,0.0353729
0.716253,0.0723085,0.0353752
0.717254,0.0731072,0.0353773
0.718255,0.073894,0.0353793
0.719255,0.074669,0.0353811
0.720256,0.0754324,0.0353827
0.721257,0.0761844,0.0353842
0.722258,0.0769251,0.0353855
0.723259,0.0776549,0.0353866
0.724259,0.0783738,0.0353876
0.72526,0.0790822,0.0353884
0.726261,0.0797801,0.0353891
0.727262,0.0804678,0.0353896
0.728263,0.0811454,0.0353899
0.729263,0.0818132,0.0353901
0.730264,0.0824714,0.0353901
0.731265,0.08312,0.03539
0.732266,0.0837592,0.0353897
0.733267,0.0843892,0.0353893
0.734267,0.0850102,0.0353887
0.735268,0.0856221,0.0353879
0.736269,0.0862251,0.035387
0.73727,0.0868193,0.035386
0.738271,0.0874046,0.0353848
0.739271,0.0879813,0.0353835
0.740272,0.0885492,0.035382
0.741273,0.0891083,0.0353804
0.742274,0.0896587,0.0353787
0.743275,0.0902003,0.0353768
0.744275,0.090733,0.0353748
0.745276,0.0912568,0.0353726
0.746277,0.0917715,0.0353704
0.747278,0.0922771,0.0353679
0.748279,0.0927734,0.0353654
0.749279,0.0932602,0.0353627
0.75028,0.0937374,0.0353599
0.751281,0.0942048,0.035357
0.752282,0.0946621,0.035354
0.753283,0.0951093,0.0353508
0.754283,0.0955461,0.0353476
0.755284,0.0959722,0.0353442
0.756285,0.0963874,0.0353407
0.757286,0.0967914,0.0353371
0.758287,0.0971841,0.0353334
0.759287,0.0975651,0.0353296
0.760288,0.0979341,0.0353257
0.761289,0.098291,0.0353216
0.76229,0.0986354,0.0353175
0.763291,0.0989671,0.0353133
0.764291,0.0992858,0.035309
0.765292,0.0995913,0.0353046
0.766293,0.0998833,0.0353001
0.767294,0.100161,0.0352955
0.768295,0.100426,0.0352908
0.769295,0.100676,0.0352861
0.770296,0.100911,0.0352812
