wl,n,k
0.75,5.345616,1.77705
0.751,5.349917,1.765898
0.752,5.353944,1.754738
0.753,5.357699,1.743578
0.754,5.361185,1.732429
0.755,5.364402,1.721301
0.756,5.367355,1.710202
0.757,5.370046,1.699142
0.758,5.372479,1.68813
0.759,5.374657,1.677174
0.76,5.376585,1.666284
0.761,5.378267,1.655468
0.762,5.379709,1.644734
0.763,5.380914,1.634088
0.764,5.381889,1.623538
0.765,5.382638,1.613091
0.766,5.383167,1.602756
0.767,5.383482,1.592537
0.768,5.38359,1.582442
0.769,5.383496,1.572477
0.77,5.383207,1.562648
0.771,5.382731,1.552958
0.772,5.382074,1.543415
0.773,5.381242,1.534022
0.774,5.380244,1.524784
0.775,5.379087,1.515705
0.776,5.377777,1.506788
0.777,5.376322,1.498037
0.778,5.37473,1.489455
0.779,5.373008,1.481045
0.78,5.371164,1.472808
0.781,5.369204,1.464747
0.782,5.367137,1.456864
0.783,5.36497,1.44916
0.784,5.362711,1.441635
0.785,5.360366,1.434292
0.786,5.357942,1.427129
0.787,5.355448,1.420149
0.788,5.35289,1.41335
0.789,5.350275,1.406731
0.79,5.347611,1.400294
0.791,5.344903,1.394036
0.792,5.342158,1.387956
0.793,5.339384,1.382054
0.794,5.336586,1.376327
0.795,5.333771,1.370774
0.796,5.330944,1.365393
0.797,5.328112,1.360182
0.798,5.325281,1.355138
0.799,5.322456,1.350259
0.8,5.319642,1.345542
0.801,5.316844,1.340985
0.802,5.314069,1.336583
0.803,5.31132,1.332335
0.804,5.308602,1.328237
0.805,5.305921,1.324284
0.806,5.30328,1.320475
0.807,5.300683,1.316805
0.808,5.298134,1.313271
0.809,5.295638,1.309868
0.81,5.293197,1.306593
0.811,5.290815,1.303442
0.812,5.288496,1.300411
0.813,5.286242,1.297495
0.814,5.284056,1.294691
0.815,5.281941,1.291995
0.816,5.2799,1.289402
0.817,5.277934,1.286908
0.818,5.276046,1.284509
0.819,5.274237,1.2822
0.82,5.27251,1.279978
0.821,5.270865,1.277838
