Wavelength(um),R_with,R_without
0.674219,0.0146517,0.0351503
0.67522,0.0156703,0.0351581
0.676221,0.0167102,0.0351658
0.677222,0.0177705,0.0351735
0.678223,0.0188504,0.035181
0.679223,0.0199492,0.0351885
0.680224,0.0210664,0.0351959
0.681225,0.0222017,0.0352032
0.682226,0.0233548,0.0352104
0.683227,0.0245256,0.0352175
0.684227,0.0257141,0.0352245
0.685228,0.0269203,0.0352314
0.686229,0.0281446,0.0352382
0.68723,0.0293872,0.0352448
0.688231,0.0306484,0.0352513
0.689231,0.0319286,0.0352577
0.690232,0.0332284,0.035264
0.691233,0.0345482,0.0352701
0.692234,0.0358885,0.0352762
0.693235,0.0372496,0.035282
0.694235,0.0386321,0.0352878
0.695236,0.0400363,0.0352934
0.696237,0.0414625,0.0352988
0.697238,0.0429109,0.0353041
0.698239,0.0443815,0.0353093
0.699239,0.0458743,0.0353143
0.70024,0.0473893,0.0353191
0.701241,0.0489259,0.0353238
0.702242,0.0504839,0.0353284
0.703243,0.0520625,0.0353328
0.704243,0.0536609,0.035337
0.705244,0.0552782,0.0353411
0.706245,0.0569131,0.035345
0.707246,0.0585644,0.0353487
0.708247,0.0602304,0.0353523
0.709247,0.0619096,0.0353558
0.710248,0.0636,0.035359
0.711249,0.0652996,0.0353621
0.71225,0.0670062,0.0353651
0.713251,0.0687176,0.0353679
0.714251,0.0704312,0.0353705
0.715252,0.0721445,0.0353729
0.716253,0.0738549,0.0353752
0.717254,0.0755597,0.0353773
0.718255,0.077256,0.0353793
0.719255,0.0789411,0.0353811
0.720256,0.0806121,0.0353827
0.721257,0.0822661,0.0353842
0.722258,0.0839003,0.0353855
0.723259,0.085512,0.0353866
0.724259,0.0870984,0.0353876
0.72526,0.0886567,0.0353884
0.726261,0.0901845,0.0353891
0.727262,0.0916793,0.0353896
0.728263,0.0931387,0.0353899
0.729263,0.0945606,0.0353901
0.730264,0.0959429,0.0353901
0.731265,0.0972838,0.03539
0.732266,0.0985815,0.0353897
0.733267,0.0998347,0.0353893
0.734267,0.101042,0.0353887
0.735268,0.102202,0.0353879
0.736269,0.103315,0.035387
0.73727,0.104379,0.035386
0.738271,0.105394,0.0353848
0.739271,0.10636,0.0353835
0.740272,0.107277,0.035382
0.741273,0.108146,0.0353804
0.742274,0.108966,0.0353787
0.743275,0.109739,0.0353768
0.744275,0.110465,0.0353748
0.745276,0.111145,0.0353726
0.746277,0.111781,0.0353704
0.747278,0.112375,0.0353679
0.748279,0.112927,0.0353654
0.749279,0.11344,0.0353627
0.75028,0.113916,0.0353599
0.751281,0.114356,0.035357
0.752282,0.114763,0.035354
0.753283,0.11514,0.0353508
0.754283,0.115488,0.0353476
0.755284,0.11581,0.0353442
0.756285,0.116109,0.0353407
0.757286,0.116387,0.0353371
0.758287,0.116647,0.0353334
0.759287,0.116891,0.0353296
0.760288,0.117122,0.0353257
0.761289,0.117343,0.0353216
0.76229,0.117556,0.0353175
0.763291,0.117764,0.0353133
0.764291,0.117969,0.035309
0.765292,0.118173,0.0353046
0.766293,0.11838,0.0353001
0.767294,0.11859,0.0352955
0.768295,0.118806,0.0352908
0.769295,0.119031,0.0352861
0.770296,0.119265,0.0352812
0.771297,0.119511,0.0352763
0.772298,0.119771,0.0352713
0.773299,0.120044,0.0352662
0.774299,0.120334,0.0352611
0.7753,0.120641,0.0352559
0.776301,0.120966,0.0352506
0.777302,0.12131,0.0352453
0.778303,0.121674,0.0352398
0.779303,0.122057,0.0352344
0.780304,0.12246,0.0352288
0.781305,0.122884,0.0352232
0.782306,0.123329,0.0352176
0.783307,0.123793,0.0352118
0.784307,0.124277,0.0352061
0.785308,0.12478,0.0352003
0.786309,0.125303,0.0351944
0.78731,0.125842,0.0351885
0.788311,0.126399,0.0351825
0.789311,0.126972,0.0351765
0.790312,0.127559,0.0351705
0.791313,0.12816,0.0351644
0.792314,0.128773,0.0351583
0.793315,0.129396,0.0351521
0.794315,0.130028,0.0351459
0.795316,0.130667,0.0351397
0.796317,0.131312,0.0351335
0.797318,0.13196,0.0351272
0.798319,0.132609,0.0351209
0.799319,0.133258,0.0351146
0.80032,0.133905,0.0351082
0.801321,0.134548,0.0351018
0.802322,0.135184,0.0350954
0.803323,0.135812,0.035089
0.804323,0.13643,0.0350826
0.805324,0.137035,0.0350761
0.806325,0.137625,0.0350697
0.807326,0.138199,0.0350632
0.808327,0.138755,0.0350567
0.809327,0.13929,0.0350502
0.810328,0.139803,0.0350437
0.811329,0.140292,0.0350372
0.81233,0.140755,0.0350307
0.813331,0.141191,0.0350242
0.814331,0.141597,0.0350176
0.815332,0.141973,0.0350111
0.816333,0.142317,0.0350046
0.817334,0.142627,0.0349981
0.818335,0.142903,0.0349916
0.819335,0.143143,0.0349851
0.820336,0.143346,0.0349786
0.821337,0.14351,0.0349721
0.822338,0.143637,0.0349656
0.823339,0.143723,0.0349591
0.824339,0.14377,0.0349526
0.82534,0.143776,0.0349462
0.826341,0.143741,0.0349397
0.827342,0.143664,0.0349333
0.828343,0.143546,0.0349268
0.829343,0.143386,0.0349204
0.830344,0.143185,0.034914
0.831345,0.142942,0.0349077
0.832346,0.142658,0.0349013
0.833347,0.142333,0.034895
0.834347,0.141968,0.0348887
0.835348,0.141563,0.0348824
0.836349,0.141118,0.0348761
0.83735,0.140636,0.0348699
0.838351,0.140115,0.0348636
0.839351,0.139558,0.0348574
0.840352,0.138964,0.0348513
0.841353,0.138337,0.0348451
0.842354,0.137675,0.034839
0.843355,0.136981,0.0348329
0.844355,0.136256,0.0348268
0.845356,0.1355,0.0348208
0.846357,0.134716,0.0348148
0.847358,0.133905,0.0348088
0.848359,0.133068,0.0348028
0.849359,0.132207,0.0347969
0.85036,0.131323,0.034791
0.851361,0.130417,0.0347852
0.852362,0.129491,0.0347794
0.853363,0.128547,0.0347736
0.854363,0.127587,0.0347678
0.855364,0.12661,0.0347621
0.856365,0.125621,0.0347564
0.857366,0.124618,0.0347508
0.858367,0.123605,0.0347452
0.859367,0.122583,0.0347396
0.860368,0.121552,0.034734
0.861369,0.120515,0.0347285
0.86237,0.119473,0.0347231
0.863371,0.118428,0.0347176
0.864371,0.11738,0.0347122
0.865372,0.11633,0.0347069
0.866373,0.115281,0.0347016
0.867374,0.114233,0.0346963
0.868375,0.113188,0.0346911
0.869376,0.112146,0.0346859
0.870376,0.111108,0.0346807
0.871377,0.110076,0.0346756
0.872378,0.109051,0.0346705
0.873379,0.108033,0.0346655
0.87438,0.107022,0.0346605
0.87538,0.106021,0.0346555
0.876381,0.105029,0.0346506
0.877382,0.104047,0.0346457
0.878383,0.103076,0.0346409
0.879384,0.102116,0.0346361
0.880384,0.101167,0.0346313
0.881385,0.100231,0.0346266
0.882386,0.0993063,0.0346219
0.883387,0.0983945,0.0346173
0.884388,0.0974954,0.0346127
0.885388,0.0966091,0.0346082
0.886389,0.0957357,0.0346036
0.88739,0.0948753,0.0345992
0.888391,0.0940279,0.0345948
0.889392,0.0931934,0.0345904
0.890392,0.0923716,0.034586
0.891393,0.0915625,0.0345817
0.892394,0.0907659,0.0345775
0.893395,0.0899814,0.0345732
0.894396,0.0892089,0.0345691
0.895396,0.0884479,0.0345649
0.896397,0.0876983,0.0345608
0.897398,0.0869596,0.0345568
0.898399,0.0862314,0.0345528
0.8994,0.0855133,0.0345488
0.9004,0.0848048,0.0345449
0.901401,0.0841055,0.034541
0.902402,0.0834149,0.0345371
0.903403,0.0827326,0.0345333
0.904404,0.0820579,0.0345295
0.905404,0.0813905,0.0345258
0.906405,0.0807297,0.0345221
0.907406,0.0800751,0.0345185
0.908407,0.079426,0.0345149
0.909408,0.0787821,0.0345113
0.910408,0.0781427,0.0345077
0.911409,0.0775073,0.0345042
0.91241,0.0768754,0.0345008
0.913411,0.0762466,0.0344974
0.914412,0.0756202,0.034494
0.915412,0.0749959,0.0344907
0.916413,0.0743731,0.0344873
0.917414,0.0737513,0.0344841
0.918415,0.0731303,0.0344809
0.919416,0.0725094,0.0344777
0.920416,0.0718883,0.0344745
0.921417,0.0712666,0.0344714
0.922418,0.0706439,0.0344683
0.923419,0.0700199,0.0344653
0.92442,0.0693943,0.0344622
0.92542,0.0687667,0.0344593
0.926421,0.0681368,0.0344563
0.927422,0.0675045,0.0344534
0.928423,0.0668695,0.0344506
0.929424,0.0662315,0.0344477
0.930424,0.0655904,0.0344449
0.931425,0.064946,0.0344422
0.932426,0.0642982,0.0344394
0.933427,0.0636468,0.0344367
0.934428,0.0629918,0.0344341
0.935428,0.0623331,0.0344314
0.936429,0.0616706,0.0344288
0.93743,0.0610044,0.0344262
0.938431,0.0603344,0.0344237
0.939432,0.0596606,0.0344212
0.940432,0.0589831,0.0344187
0.941433,0.058302,0.0344163
0.942434,0.0576173,0.0344139
0.943435,0.0569291,0.0344115
0.944436,0.0562376,0.0344091
0.945436,0.0555428,0.0344068
0.946437,0.0548449,0.0344045
0.947438,0.0541442,0.0344023
0.948439,0.0534407,0.0344
0.94944,0.0527346,0.0343978
0.95044,0.0520263,0.0343956
0.951441,0.0513158,0.0343935
0.952442,0.0506034,0.0343914
0.953443,0.0498893,0.0343893
0.954444,0.0491738,0.0343872
0.955444,0.0484572,0.0343852
0.956445,0.0477396,0.0343831
0.957446,0.0470214,0.0343812
0.958447,0.0463028,0.0343792
0.959448,0.0455841,0.0343773
0.960448,0.0448656,0.0343753
0.961449,0.0441475,0.0343735
0.96245,0.0434302,0.0343716
0.963451,0.0427139,0.0343698
0.964452,0.0419988,0.0343679
0.965452,0.0412853,0.0343661
0.966453,0.0405737,0.0343644
0.967454,0.0398641,0.0343626
0.968455,0.039157,0.0343609
0.969456,0.0384525,0.0343592
0.970456,0.0377509,0.0343575
0.971457,0.0370525,0.0343559
0.972458,0.0363575,0.0343542
0.973459,0.0356662,0.0343526
0.97446,0.0349788,0.034351
0.97546,0.0342955,0.0343495
0.976461,0.0336167,0.0343479
0.977462,0.0329424,0.0343464
0.978463,0.0322729,0.0343449
0.979464,0.0316085,0.0343434
0.980464,0.0309493,0.0343419
0.981465,0.0302955,0.0343404
0.982466,0.0296473,0.034339
0.983467,0.0290049,0.0343376
0.984468,0.0283684,0.0343362
0.985468,0.027738,0.0343348
0.986469,0.0271138,0.0343334
0.98747,0.026496,0.0343321
0.988471,0.0258848,0.0343308
0.989472,0.0252801,0.0343294
0.990472,0.0246822,0.0343281
0.991473,0.0240912,0.0343269
0.992474,0.0235071,0.0343256
0.993475,0.0229301,0.0343243
0.994476,0.0223603,0.0343231
0.995476,0.0217976,0.0343219
0.996477,0.0212422,0.0343207
0.997478,0.0206941,0.0343195
0.998479,0.0201535,0.0343183
0.99948,0.0196203,0.0343171
1.00048,0.0190946,0.034316
1.00148,0.0185764,0.0343149
1.00248,0.0180658,0.0343137
1.00348,0.0175627,0.0343126
1.00448,0.0170673,0.0343115
1.00548,0.0165794,0.0343105
1.00649,0.0160992,0.0343094
1.00749,0.0156266,0.0343083
1.00849,0.0151617,0.0343073
1.00949,0.0147043,0.0343062
1.01049,0.0142546,0.0343052
1.01149,0.0138125,0.0343042
1.01249,0.013378,0.0343032
1.01349,0.012951,0.0343022
1.01449,0.0125316,0.0343012
1.01549,0.0121198,0.0343003
1.01649,0.0117154,0.0342993
1.01749,0.0113186,0.0342984
1.01849,0.0109292,0.0342974
1.0195,0.0105472,0.0342965
1.0205,0.0101726,0.0342956
1.0215,0.00980532,0.0342947
1.0225,0.00944541,0.0342938
1.0235,0.00909279,0.0342929
1.0245,0.00874743,0.034292
1.0255,0.00840929,0.0342911
1.0265,0.00807833,0.0342903
1.0275,0.00775453,0.0342894
1.0285,0.00743784,0.0342886
1.0295,0.00712823,0.0342877
1.0305,0.00682566,0.0342869
1.03151,0.0065301,0.0342861
1.03251,0.00624152,0.0342852
1.03351,0.00595987,0.0342844
1.03451,0.00568513,0.0342836
1.03551,0.00541725,0.0342828
1.03651,0.00515622,0.034282
1.03751,0.00490198,0.0342813
1.03851,0.00465452,0.0342805
1.03951,0.0044138,0.0342797
1.04051,0.00417979,0.0342789
1.04151,0.00395247,0.0342782
1.04251,0.00373179,0.0342774
1.04351,0.00351774,0.0342767
1.04452,0.00331028,0.034276
1.04552,0.00310939,0.0342752
1.04652,0.00291504,0.0342745
1.04752,0.00272721,0.0342738
1.04852,0.00254587,0.034273
1.04952,0.002371,0.0342723
1.05052,0.00220257,0.0342716
1.05152,0.00204055,0.0342709
1.05252,0.00188493,0.0342702
1.05352,0.00173568,0.0342695
1.05452,0.00159278,0.0342688
1.05552,0.0014562,0.0342681
1.05653,0.00132593,0.0342675
1.05753,0.00120193,0.0342668
1.05853,0.0010842,0.0342661
1.05953,0.000972699,0.0342654
1.06053,0.000867411,0.0342648
1.06153,0.000768314,0.0342641
1.06253,0.000675384,0.0342635
1.06353,0.000588598,0.0342628
1.06453,0.000507933,0.0342622
1.06553,0.000433364,0.0342615
1.06653,0.000364868,0.0342609
1.06753,0.000302419,0.0342602
1.06853,0.000245993,0.0342596
1.06954,0.000195562,0.0342589
1.07054,0.000151101,0.0342583
1.07154,0.000112583,0.0342577
1.07254,7.99782E-05,0.0342571
1.07354,5.3259E-05,0.0342564
1.07454,3.23956E-05,0.0342558
1.07554,1.73574E-05,0.0342552
1.07654,8.11316E-06,0.0342546
1.07754,4.63056E-06,0.034254
1.07854,6.87648E-06,0.0342533
1.07954,1.48168E-05,0.0342527
1.08054,2.84166E-05,0.0342521
1.08155,4.76398E-05,0.0342515
1.08255,7.24494E-05,0.0342509
1.08355,0.000102808,0.0342503
1.08455,0.000138675,0.0342497
1.08555,0.000180013,0.0342491
1.08655,0.000226779,0.0342485
1.08755,0.000278932,0.0342479
1.08855,0.00033643,0.0342473
1.08955,0.000399228,0.0342468
1.09055,0.000467282,0.0342462
1.09155,0.000540547,0.0342456
1.09255,0.000618975,0.034245
1.09355,0.000702521,0.0342444
1.09456,0.000791136,0.0342438
1.09556,0.000884771,0.0342432
1.09656,0.000983376,0.0342427
1.09756,0.0010869,0.0342421
1.09856,0.0011953,0.0342415
1.09956,0.00130851,0.0342409
1.10056,0.00142649,0.0342404
1.10156,0.00154919,0.0342398
1.10256,0.00167654,0.0342392
1.10356,0.0018085,0.0342386
1.10456,0.00194502,0.0342381
1.10556,0.00208603,0.0342375
1.10657,0.00223149,0.0342369
1.10757,0.00238134,0.0342364
1.10857,0.00253552,0.0342358
1.10957,0.00269399,0.0342352
1.11057,0.00285668,0.0342347
1.11157,0.00302354,0.0342341
1.11257,0.00319451,0.0342335
1.11357,0.00336955,0.034233
1.11457,0.00354859,0.0342324
1.11557,0.00373158,0.0342319
1.11657,0.00391847,0.0342313
1.11757,0.0041092,0.0342307
1.11857,0.00430372,0.0342302
1.11958,0.00450198,0.0342296
1.12058,0.00470392,0.0342291
1.12158,0.00490949,0.0342285
1.12258,0.00511865,0.0342279
1.12358,0.00533133,0.0342274
1.12458,0.00554749,0.0342268
1.12558,0.00576708,0.0342263
1.12658,0.00599005,0.0342257
1.12758,0.00621636,0.0342252
1.12858,0.00644594,0.0342246
1.12958,0.00667877,0.0342241
1.13058,0.00691479,0.0342235
1.13159,0.00715396,0.0342229
1.13259,0.00739623,0.0342224
1.13359,0.00764157,0.0342218
1.13459,0.00788993,0.0342213
1.13559,0.00814126,0.0342207
1.13659,0.00839554,0.0342202
1.13759,0.00865271,0.0342196
1.13859,0.00891276,0.0342191
1.13959,0.00917562,0.0342185
1.14059,0.00944129,0.034218
1.14159,0.0097097,0.0342174
1.14259,0.00998085,0.0342169
1.14359,0.0102547,0.0342163
1.1446,0.0105312,0.0342158
1.1456,0.0108103,0.0342152
1.1466,0.011092,0.0342147
1.1476,0.0113764,0.0342141
1.1486,0.0116632,0.0342136
1.1496,0.0119526,0.034213
1.1506,0.0122445,0.0342125
1.1516,0.0125388,0.0342119
1.1526,0.0128356,0.0342114
1.1536,0.0131349,0.0342108
1.1546,0.0134366,0.0342103
1.1556,0.0137406,0.0342097
1.15661,0.014047,0.0342092
1.15761,0.0143558,0.0342086
1.15861,0.0146669,0.0342081
1.15961,0.0149804,0.0342075
1.16061,0.0152962,0.034207
1.16161,0.0156142,0.0342064
1.16261,0.0159346,0.0342059
1.16361,0.0162572,0.0342053
1.16461,0.0165821,0.0342048
1.16561,0.0169092,0.0342042
1.16661,0.0172386,0.0342037
1.16761,0.0175702,0.0342031
1.16861,0.017904,0.0342026
1.16962,0.01824,0.034202
1.17062,0.0185782,0.0342015
1.17162,0.0189187,0.034201
1.17262,0.0192613,0.0342004
1.17362,0.0196061,0.0341999
1.17462,0.0199531,0.0341993
1.17562,0.0203022,0.0341988
1.17662,0.0206535,0.0341982
1.17762,0.021007,0.0341977
1.17862,0.0213626,0.0341971
1.17962,0.0217203,0.0341966
1.18062,0.0220802,0.034196
1.18163,0.0224422,0.0341955
1.18263,0.0228064,0.0341949
1.18363,0.0231727,0.0341944
1.18463,0.0235411,0.0341939
1.18563,0.0239115,0.0341933
1.18663,0.0242841,0.0341928
1.18763,0.0246588,0.0341922
1.18863,0.0250356,0.0341917
1.18963,0.0254145,0.0341911
1.19063,0.0257954,0.0341906
1.19163,0.0261784,0.03419
1.19263,0.0265634,0.0341895
1.19363,0.0269505,0.034189
1.19464,0.0273397,0.0341884
1.19564,0.0277308,0.0341879
1.19664,0.028124,0.0341873
1.19764,0.0285191,0.0341868
1.19864,0.0289163,0.0341862
1.19964,0.0293154,0.0341857
1.20064,0.0297165,0.0341852
1.20164,0.0301195,0.0341846
1.20264,0.0305245,0.0341841
1.20364,0.0309314,0.0341835
1.20464,0.0313402,0.034183
1.20564,0.0317508,0.0341825
1.20665,0.0321633,0.0341819
1.20765,0.0325777,0.0341814
1.20865,0.0329938,0.0341808
1.20965,0.0334118,0.0341803
1.21065,0.0338315,0.0341798
1.21165,0.034253,0.0341792
1.21265,0.0346762,0.0341787
1.21365,0.0351011,0.0341781
1.21465,0.0355277,0.0341776
1.21565,0.0359559,0.0341771
1.21665,0.0363857,0.0341765
1.21765,0.0368171,0.034176
1.21865,0.03725,0.0341755
1.21966,0.0376845,0.0341749
1.22066,0.0381205,0.0341744
1.22166,0.0385578,0.0341739
1.22266,0.0389967,0.0341733
1.22366,0.0394368,0.0341728
1.22466,0.0398784,0.0341723
1.22566,0.0403212,0.0341717
1.22666,0.0407653,0.0341712
1.22766,0.0412105,0.0341707
1.22866,0.041657,0.0341701
1.22966,0.0421046,0.0341696
1.23066,0.0425533,0.0341691
1.23167,0.043003,0.0341686
1.23267,0.0434537,0.034168
1.23367,0.0439054,0.0341675
1.23467,0.044358,0.034167
1.23567,0.0448114,0.0341665
1.23667,0.0452656,0.0341659
1.23767,0.0457206,0.0341654
1.23867,0.0461762,0.0341649
1.23967,0.0466326,0.0341644
