Wavelength,Transmission
0.936429,0.0616706
0.93743,0.0610044
0.938431,0.0603344
0.939432,0.0596606
0.940432,0.0589831
0.941433,0.058302
0.942434,0.0576173
0.943435,0.0569291
0.944436,0.0562376
0.945436,0.0555428
0.946437,0.0548449
0.947438,0.0541442
0.948439,0.0534407
0.94944,0.0527346
0.95044,0.0520263
0.951441,0.0513158
0.952442,0.0506034
0.953443,0.0498893
0.954444,0.0491738
0.955444,0.0484572
0.956445,0.0477396
0.957446,0.0470214
0.958447,0.0463028
0.959448,0.0455841
0.960448,0.0448656
0.961449,0.0441475
0.96245,0.0434302
0.963451,0.0427139
0.964452,0.0419988
0.965452,0.0412853
0.966453,0.0405737
0.967454,0.0398641
0.968455,0.039157
0.969456,0.0384525
0.970456,0.0377509
0.971457,0.0370525
0.972458,0.0363575
0.973459,0.0356662
0.97446,0.0349788
0.97546,0.0342955
0.976461,0.0336167
0.977462,0.0329424
0.978463,0.0322729
0.979464,0.0316085
0.980464,0.0309493
0.981465,0.0302955
0.982466,0.0296473
0.983467,0.0290049
0.984468,0.0283684
0.985468,0.027738
0.986469,0.0271138
0.98747,0.026496
0.988471,0.0258848
0.989472,0.0252801
0.990472,0.0246822
0.991473,0.0240912
0.992474,0.0235071
0.993475,0.0229301
0.994476,0.0223603
0.995476,0.0217976
0.996477,0.0212422
0.997478,0.0206941
0.998479,0.0201535
0.99948,0.0196203
1.00048,0.0190946
1.00148,0.0185764
1.00248,0.0180658
1.00348,0.0175627
1.00448,0.0170673
1.00548,0.0165794
1.00649,0.0160992
1.00749,0.0156266
1.00849,0.0151617
1.00949,0.0147043
1.01049,0.0142546
1.01149,0.0138125
1.01249,0.013378
1.01349,0.012951
1.01449,0.0125316
1.01549,0.0121198
1.01649,0.0117154
1.01749,0.0113186
1.01849,0.0109292
1.0195,0.0105472
1.0205,0.0101726
1.0215,0.00980532
1.0225,0.00944541
1.0235,0.00909279
1.0245,0.00874743
1.0255,0.00840929
1.0265,0.00807833
1.0275,0.00775453
1.0285,0.00743784
1.0295,0.00712823
1.0305,0.00682566
1.03151,0.0065301
1.03251,0.00624152
1.03351,0.00595987
1.03451,0.00568513
1.03551,0.00541725
1.03651,0.00515622
1.03751,0.00490198
1.03851,0.00465452
1.03951,0.0044138
1.04051,0.00417979
1.04151,0.00395247
1.04251,0.00373179
1.04351,0.00351774
1.04452,0.00331028
1.04552,0.00310939
1.04652,0.00291504
1.04752,0.00272721
1.04852,0.00254587
1.04952,0.002371
1.05052,0.00220257
1.05152,0.00204055
1.05252,0.00188493
1.05352,0.00173568
1.05452,0.00159278
1.05552,0.0014562
1.05653,0.00132593
1.05753,0.00120193
1.05853,0.0010842
1.05953,0.000972699
1.06053,0.000867411
1.06153,0.000768314
1.06253,0.000675384
1.06353,0.000588598
1.06453,0.000507933
1.06553,0.000433364
1.06653,0.000364868
1.06753,0.000302419
1.06853,0.000245993
1.06954,0.000195562
1.07054,0.000151101
1.07154,0.000112583
1.07254,7.99782e-05
1.07354,5.3259e-05
1.07454,3.23956e-05
1.07554,1.73574e-05
1.07654,8.11316e-06
1.07754,4.63056e-06
1.07854,6.87648e-06
1.07954,1.48168e-05
1.08054,2.84166e-05
1.08155,4.76398e-05
1.08255,7.24494e-05
1.08355,0.000102808
1.08455,0.000138675
1.08555,0.000180013
1.08655,0.000226779
1.08755,0.000278932
1.08855,0.00033643
1.08955,0.000399228
1.09055,0.000467282
1.09155,0.000540547
1.09255,0.000618975
1.09355,0.000702521
1.09456,0.000791136
1.09556,0.000884771
1.09656,0.000983376
1.09756,0.0010869
1.09856,0.0011953
1.09956,0.00130851
1.10056,0.00142649
1.10156,0.00154919
1.10256,0.00167654
1.10356,0.0018085
1.10456,0.00194502
1.10556,0.00208603
1.10657,0.00223149
1.10757,0.00238134
1.10857,0.00253552
1.10957,0.00269399
1.11057,0.00285668
1.11157,0.00302354
1.11257,0.00319451
1.11357,0.00336955
1.11457,0.00354859
1.11557,0.00373158
1.11657,0.00391847
1.11757,0.0041092
1.11857,0.00430372
1.11958,0.00450198
1.12058,0.00470392
1.12158,0.00490949
1.12258,0.00511865
1.12358,0.00533133
1.12458,0.00554749
1.12558,0.00576708
1.12658,0.00599005
1.12758,0.00621636
1.12858,0.00644594
1.12958,0.00667877
1.13058,0.00691479
1.13159,0.00715396
1.13259,0.00739623
1.13359,0.00764157
1.13459,0.00788993
1.13559,0.00814126
1.13659,0.00839554
1.13759,0.00865271
1.13859,0.00891276
1.13959,0.00917562
1.14059,0.00944129
1.14159,0.0097097
1.14259,0.00998085
1.14359,0.0102547
