# Wavelength (nm), Re(sigma) (S), Im(sigma) (S)
4.725725725725725397e+02,1.192810271603228974e-20,7.277907166889999141e-19
4.738238238238238296e+02,1.200545820394353739e-20,7.291812157031758525e-19
4.750750750750750626e+02,1.208331928260657262e-20,7.305770299675513506e-19
4.763263263263263525e+02,1.216169006730609253e-20,7.319781899695397463e-19
4.775775775775775855e+02,1.224057471422492769e-20,7.333847264297918126e-19
4.788288288288288186e+02,1.231997742092684270e-20,7.347966703044291616e-19
4.800800800800800516e+02,1.239990242684581418e-20,7.362140527872992203e-19
4.813313313313313415e+02,1.248035401378208111e-20,7.376369053122581311e-19
4.825825825825825746e+02,1.256133650640505024e-20,7.390652595554808087e-19
4.838338338338338644e+02,1.264285427276305673e-20,7.404991474377951672e-19
4.850850850850850975e+02,1.272491172480021142e-20,7.419386011270461026e-19
4.863363363363363305e+02,1.280751331888040133e-20,7.433836530404848982e-19
4.875875875875875636e+02,1.289066355631851973e-20,7.448343358471870366e-19
4.888388388388388535e+02,1.297436698391909916e-20,7.462906824704984200e-19
4.900900900900900865e+02,1.305862819452240280e-20,7.477527260905101899e-19
4.913413413413413764e+02,1.314345182755817299e-20,7.492205001465607991e-19
4.925925925925926094e+02,1.322884256960710302e-20,7.506940383397709206e-19
4.938438438438438425e+02,1.331480515497007426e-20,7.521733746356030089e-19
4.950950950950950755e+02,1.340134436624555300e-20,7.536585432664566824e-19
4.963463463463463654e+02,1.348846503491492270e-20,7.551495787342897222e-19
4.975975975975975985e+02,1.357617204193614886e-20,7.566465158132730627e-19
4.988488488488488315e+02,1.366447031834577059e-20,7.581493895524754413e-19
5.001001001001001214e+02,1.375336484586945043e-20,7.596582352785810783e-19
5.013513513513513544e+02,1.384286065754106461e-20,7.611730885986384606e-19
5.026026026026025875e+02,1.393296283833072919e-20,7.626939854028430214e-19
5.038538538538538205e+02,1.402367652578158775e-20,7.642209618673519832e-19
5.051051051051051104e+02,1.411500691065578334e-20,7.657540544571331933e-19
5.063563563563563434e+02,1.420695923758955151e-20,7.672932999288468926e-19
5.076076076076076333e+02,1.429953880575778651e-20,7.688387353337652334e-19
5.088588588588588664e+02,1.439275096954803552e-20,7.703903980207230922e-19
5.101101101101100994e+02,1.448660113924420078e-20,7.719483256391060543e-19
5.113613613613613325e+02,1.458109478172006997e-20,7.735125561418747976e-19
5.126126126126125655e+02,1.467623742114282832e-20,7.750831277886252991e-19
5.138638638638639122e+02,1.477203463968676009e-20,7.766600791486863080e-19
5.151151151151151453e+02,1.486849207825720866e-20,7.782434491042537964e-19
5.163663663663663783e+02,1.496561543722512622e-20,7.798332768535651815e-19
5.176176176176176114e+02,1.506341047717220703e-20,7.814296019141103313e-19
