# Wavelength (nm), Re(sigma) (S), Im(sigma) (S)
8.829829829829830032e+02,1.585510258249809185e-19,1.934945093302569393e-18
8.842342342342342363e+02,1.603965474276977713e-19,1.944710988003482684e-18
8.854854854854854693e+02,1.622715441628787011e-19,1.954574822893173914e-18
8.867367367367367024e+02,1.641766317199314447e-19,1.964538060619612741e-18
8.879879879879879354e+02,1.661124417562824471e-19,1.974602192710471215e-18
8.892392392392391685e+02,1.680796223929433599e-19,1.984768740278733278e-18
8.904904904904905152e+02,1.700788387279968023e-19,1.995039254748728754e-18
8.917417417417417482e+02,1.721107733687444057e-19,2.005415318603280537e-18
8.929929929929929813e+02,1.741761269832904063e-19,2.015898546152670642e-18
8.942442442442443280e+02,1.762756188723698892e-19,2.026490584326139245e-18
8.954954954954955610e+02,1.784099875622729725e-19,2.037193113486694030e-18
8.967467467467467941e+02,1.805799914197536250e-19,2.048007848270012149e-18
8.979979979979980271e+02,1.827864092898511530e-19,2.058936538448236361e-18
8.992492492492492602e+02,1.850300411576021251e-19,2.069980969819530875e-18
9.005005005005004932e+02,1.873117088346647789e-19,2.081142965124266638e-18
9.017517517517517263e+02,1.896322566719244878e-19,2.092424384988745501e-18
9.030030030030029593e+02,1.919925522992069319e-19,2.103827128897427368e-18
9.042542542542541923e+02,1.943934873932716006e-19,2.115353136194617534e-18
9.055055055055054254e+02,1.968359784753247453e-19,2.127004387116656512e-18
9.067567567567567721e+02,1.993209677393443227e-19,2.138782903855668533e-18
9.080080080080080052e+02,2.018494239125776457e-19,2.150690751655958798e-18
9.092592592592592382e+02,2.044223431496392175e-19,2.162730039944225820e-18
9.105105105105105849e+02,2.070407499617045223e-19,2.174902923494753664e-18
9.117617617617618180e+02,2.097056981823723423e-19,2.187211603630825147e-18
9.130130130130130510e+02,2.124182719718549824e-19,2.199658329463668341e-18
9.142642642642642841e+02,2.151795868612196531e-19,2.212245399170211319e-18
9.155155155155155171e+02,2.179907908385179625e-19,2.224975161311093860e-18
9.167667667667667502e+02,2.208530654787110554e-19,2.237850016190323528e-18
9.180180180180179832e+02,2.237676271194150087e-19,2.250872417258113412e-18
9.192692692692692162e+02,2.267357280845800724e-19,2.264044872558431876e-18
9.205205205205205630e+02,2.297586579583403361e-19,2.277369946222894029e-18
9.217717717717717960e+02,2.328377449113753448e-19,2.290850260012668942e-18
9.230230230230230291e+02,2.359743570822635146e-19,2.304488494910169076e-18
9.242742742742742621e+02,2.391699040164168089e-19,2.318287392762308016e-18
9.255255255255254951e+02,2.424258381653493595e-19,2.332249757977259780e-18
9.267767767767767282e+02,2.457436564491572263e-19,2.346378459276651777e-18
9.280280280280280749e+02,2.491249018852534701e-19,2.360676431505250623e-18
9.292792792792793080e+02,2.525711652865662217e-19,2.375146677500275916e-18
9.305305305305305410e+02,2.560840870325769623e-19,2.389792270022540200e-18
9.317817817817817740e+02,2.596653589167672339e-19,2.404616353751738579e-18
9.330330330330330071e+02,2.633167260742308832e-19,2.419622147348263427e-18
9.342842842842842401e+02,2.670399889934206042e-19,2.434812945584041329e-18
9.355355355355355869e+02,2.708370056162219600e-19,2.450192121544996139e-18
9.367867867867868199e+02,2.747096935307730658e-19,2.465763128907825584e-18
9.380380380380380529e+02,2.786600322617070531e-19,2.481529504293903271e-18
9.392892892892892860e+02,2.826900656627473095e-19,2.497494869703216176e-18
9.405405405405405190e+02,2.868019044168787138e-19,2.513662935031392539e-18
9.417917917917917521e+02,2.909977286496072631e-19,2.530037500672967887e-18
9.430430430430430988e+02,2.952797906611390361e-19,2.546622460214177906e-18
9.442942942942943318e+02,2.996504177836528328e-19,2.563421803218708262e-18
9.455455455455455649e+02,3.041120153701952478e-19,2.580439618109956609e-18
9.467967967967967979e+02,3.086670699221055733e-19,2.597680095153493421e-18
9.480480480480480310e+02,3.133181523622981661e-19,2.615147529543610861e-18
9.492992992992992640e+02,3.180679214621430718e-19,2.632846324597897450e-18
9.505505505505504971e+02,3.229191274301776793e-19,2.650780995064095599e-18
9.518018018018018438e+02,3.278746156713368423e-19,2.668956170543476369e-18
9.530530530530530768e+02,3.329373307259515644e-19,2.687376599035296673e-18
9.543043043043043099e+02,3.381103203983002620e-19,2.706047150606995441e-18
9.555555555555555429e+02,3.433967400851132510e-19,2.724972821195000182e-18
9.568068068068067760e+02,3.487998573150450924e-19,2.744158736541161393e-18
9.580580580580580090e+02,3.543230565108494881e-19,2.763610156270118432e-18
9.593093093093093557e+02,3.599698439866840298e-19,2.783332478113016028e-18
9.605605605605605888e+02,3.657438531937600518e-19,2.803331242283193624e-18
9.618118118118118218e+02,3.716488502284060232e-19,2.823612136009787485e-18
9.630630630630630549e+02,3.776887396174798750e-19,2.844180998235294932e-18
9.643143143143142879e+02,3.838675703970147054e-19,2.865043824483376140e-18
9.655655655655655210e+02,3.901895425010418582e-19,2.886206771903536814e-18
9.668168168168168677e+02,3.966590134785692083e-19,2.907676164499346977e-18
9.680680680680681007e+02,4.032805055579123715e-19,2.929458498547290621e-18
9.693193193193193338e+02,4.100587130788140640e-19,2.951560448213487320e-18
9.705705705705705668e+02,4.169985103141112479e-19,2.973988871375739932e-18
9.718218218218217999e+02,4.241049597041926200e-19,2.996750815658708023e-18
9.730730730730730329e+02,4.313833205289949798e-19,3.019853524690143766e-18
9.743243243243243796e+02,4.388390580439894886e-19,3.043304444586477590e-18
9.755755755755756127e+02,4.464778531083366283e-19,3.067111230676125986e-18
9.768268268268268457e+02,4.543056123353991997e-19,3.091281754469408095e-18
9.780780780780780788e+02,4.623284787977364248e-19,3.115824110883798235e-18
9.793293293293293118e+02,4.705528433210424192e-19,3.140746625733848196e-18
9.805805805805805448e+02,4.789853564037894995e-19,3.166057863495049955e-18
9.818318318318317779e+02,4.876329408019510487e-19,3.191766635351267318e-18
9.830830830830831246e+02,4.965028048209112204e-19,3.217882007535414262e-18
9.843343343343343577e+02,5.056024563596645455e-19,3.244413309973311646e-18
9.855855855855855907e+02,5.149397177556112320e-19,3.271370145240720915e-18
9.868368368368368237e+02,5.245227414816881693e-19,3.298762397843591232e-18
9.880880880880880568e+02,5.343600267513571147e-19,3.326600243831743620e-18
9.893393393393392898e+02,5.444604370909144031e-19,3.354894160755966914e-18
9.905905905905906366e+02,5.548332189430371481e-19,3.383654937978739862e-18
9.918418418418418696e+02,5.654880213700477683e-19,3.412893687348287235e-18
9.930930930930931027e+02,5.764349169305632718e-19,3.442621854245784866e-18
9.943443443443443357e+02,5.876844238085877626e-19,3.472851229014952290e-18
9.955955955955955687e+02,5.992475292801002182e-19,3.503593958783019403e-18
9.968468468468468018e+02,6.111357146085140564e-19,3.534862559681237286e-18
9.980980980980981485e+02,6.233609814674411331e-19,3.566669929472710896e-18
9.993493493493493816e+02,6.359358799965780811e-19,3.599029360594050931e-18
1.000600600600600615e+03,6.488735386047654797e-19,3.631954553616497857e-18
1.001851851851851848e+03,6.621876956430751181e-19,3.665459631130757454e-18
1.003103103103103081e+03,6.758927330802526300e-19,3.699559152057920636e-18
1.004354354354354314e+03,6.900037123233927298e-19,3.734268126387354995e-18
1.005605605605605660e+03,7.045364123377787352e-19,3.769602030339605187e-18
1.006856856856856894e+03,7.195073702321847445e-19,3.805576821949995751e-18
1.008108108108108127e+03,7.349339244891638151e-19,3.842208957065284285e-18
1.009359359359359360e+03,7.508342610341849011e-19,3.879515405741752367e-18
1.010610610610610593e+03,7.672274623532931013e-19,3.917513669029061792e-18
1.011861861861861826e+03,7.841335598858273538e-19,3.956221796118636959e-18
1.013113113113113059e+03,8.015735899374201955e-19,3.995658401829753682e-18
1.014364364364364405e+03,8.195696533784962196e-19,4.035842684399153787e-18
1.015615615615615638e+03,8.381449794154963565e-19,4.076794443532185597e-18
1.016866866866866872e+03,8.573239937459235389e-19,4.118534098664081848e-18
1.018118118118118105e+03,8.771323914342390173e-19,4.161082707369098965e-18
1.019369369369369338e+03,8.975972148739360869e-19,4.204461983842749225e-18
1.020620620620620571e+03,9.187469372320167435e-19,4.248694317368132439e-18
1.021871871871871917e+03,9.406115518055327557e-19,4.293802790660443328e-18
1.023123123123123150e+03,9.632226677565593275e-19,4.339811197964865873e-18
1.024374374374374383e+03,9.866136127317812885e-19,4.386744062760877698e-18
1.025625625625625617e+03,1.010819542916205077e-18,4.434626654900414236e-18
1.026876876876876850e+03,1.035877561118045008e-18,4.483485006978515161e-18
1.028128128128128083e+03,1.061826843533108458e-18,4.533345929700862521e-18
1.029379379379379316e+03,1.088708775893432260e-18,4.584237025974423472e-18
1.030630630630630549e+03,1.116567099765773459e-18,4.636186703402284412e-18
1.031881881881881782e+03,1.145448069832410904e-18,4.689224184813006574e-18
1.033133133133133015e+03,1.175400623058893539e-18,4.743379516395403597e-18
1.034384384384384248e+03,1.206476560732187051e-18,4.798683572941856524e-18
1.035635635635635481e+03,1.238730744438311654e-18,4.855168059625303878e-18
1.036886886886886941e+03,1.272221307141179041e-18,4.912865509644649018e-18
1.038138138138138174e+03,1.307009880625288779e-18,4.971809276970253505e-18
1.039389389389389407e+03,1.343161840673716337e-18,5.032033523301533359e-18
1.040640640640640640e+03,1.380746571470741126e-18,5.093573198211497237e-18
1.041891891891891873e+03,1.419837750845406795e-18,5.156464011294612420e-18
1.043143143143143106e+03,1.460513658109305072e-18,5.220742394952447213e-18
1.044394394394394340e+03,1.502857506388105532e-18,5.286445456240556675e-18
1.045645645645645800e+03,1.546957801503744690e-18,5.353610915958606959e-18
1.046896896896897033e+03,1.592908729630514396e-18,5.422277032885166450e-18
1.048148148148148266e+03,1.640810576125773233e-18,5.492482510737143335e-18
1.049399399399399499e+03,1.690770178121290575e-18,5.564266385060546283e-18
1.050650650650650732e+03,1.742901413655937807e-18,5.637667886830505147e-18
1.051901901901901965e+03,1.797325730330911011e-18,5.712726279042298192e-18
1.053153153153153198e+03,1.854172716672969010e-18,5.789480662002182809e-18
1.054404404404404431e+03,1.913580719596770436e-18,5.867969742366288191e-18
1.055655655655655664e+03,1.975697511557329834e-18,5.948231560211328237e-18
1.056906906906906897e+03,2.040681011174238878e-18,6.030303167540242218e-18
1.058158158158158130e+03,2.108700061278456846e-18,6.114220250606455230e-18
1.059409409409409363e+03,2.179935268472550109e-18,6.200016687266573035e-18
1.060660660660660596e+03,2.254579908387366779e-18,6.287724029213964382e-18
1.061911911911911830e+03,2.332840900846505921e-18,6.377370897382676160e-18
1.063163163163163063e+03,2.414939859086552528e-18,6.468982277007890898e-18
1.064414414414414296e+03,2.501114216996267707e-18,6.562578696754307109e-18
1.065665665665665529e+03,2.591618437989016624e-18,6.658175273936584291e-18
1.066916916916916762e+03,2.686725308559857206e-18,6.755780605116294350e-18
1.068168168168168222e+03,2.786727318733636095e-18,6.855395478218097886e-18
1.069419419419419455e+03,2.891938130403388347e-18,6.957011378717807144e-18
1.070670670670670688e+03,3.002694132883217791e-18,7.060608758361518043e-18
1.071921921921921921e+03,3.119356082726085571e-18,7.166155030225034622e-18
1.073173173173173154e+03,3.242310821825229815e-18,7.273602248667645142e-18
1.074424424424424387e+03,3.371973063820828952e-18,7.382884426823116251e-18
1.075675675675675620e+03,3.508787233627246442e-18,7.493914437675385993e-18
1.076926926926927081e+03,3.653229338165788674e-18,7.606580437466819164e-18
1.078178178178178314e+03,3.805808837762077795e-18,7.720741742206975717e-18
1.079429429429429547e+03,3.967070476680834088e-18,7.836224079453203494e-18
1.080680680680680780e+03,4.137596017371281689e-18,7.952814128463353603e-18
1.081931931931932013e+03,4.318005805516712079e-18,8.070253252519844579e-18
1.083183183183183246e+03,4.508960071135867166e-18,8.188230318085451076e-18
1.084434434434434479e+03,4.711159843851113944e-18,8.306373487069684406e-18
1.085685685685685712e+03,4.925347326970908752e-18,8.424240861736392507e-18
1.086936936936936945e+03,5.152305534059024452e-18,8.541309857916606721e-18
1.088188188188188178e+03,5.392856941922561992e-18,8.656965182951157035e-18
1.089439439439439411e+03,5.647860854169494785e-18,8.770485302569514631e-18
1.090690690690690644e+03,5.918209098484933017e-18,8.881027298935373242e-18
1.091941941941941877e+03,6.204819597675538576e-18,8.987610054620351183e-18
1.093193193193193110e+03,6.508627259046293597e-18,9.089095749835281177e-18
1.094444444444444343e+03,6.830571519577183164e-18,9.184169739888724266e-18
1.095695695695695576e+03,7.171579768116726773e-18,9.271318995266755306e-18
1.096946946946946809e+03,7.532545745482377892e-18,9.348809448413371594e-18
1.098198198198198043e+03,7.914301907818369325e-18,9.414662811308488983e-18
1.099449449449449503e+03,8.317584642038905151e-18,9.466633719414967768e-18
1.100700700700700736e+03,8.742991166099484747e-18,9.502188433464343940e-18
1.101951951951951969e+03,9.190926961912245567e-18,9.518486801510782625e-18
1.103203203203203202e+03,9.661542716898831831e-18,9.512369754437531399e-18
1.104454454454454435e+03,1.015466004607047359e-17,9.480355272097238796e-18
1.105705705705705668e+03,1.066968579709395137e-17,9.418646489070949732e-18
1.106956956956956901e+03,1.120551558218295474e-17,9.323156354492994668e-18
1.108208208208208362e+03,1.176042840987010569e-17,9.189553925131021980e-18
1.109459459459459595e+03,1.233197596904191924e-17,9.013337808919548859e-18
1.110710710710710828e+03,1.291687226938945636e-17,8.789942282035462159e-18
1.111961961961962061e+03,1.351089191298566884e-17,8.514880913547211987e-18
1.113213213213213294e+03,1.410878808690916307e-17,8.183930847304643011e-18
1.114464464464464527e+03,1.470424408602675699e-17,7.793357920873133727e-18
1.115715715715715760e+03,1.528987425951197970e-17,7.340178349086863750e-18
1.116966966966966993e+03,1.585729099424152429e-17,6.822446780549576768e-18
1.118218218218218226e+03,1.639725285649142061e-17,6.239553515469102323e-18
1.119469469469469459e+03,1.689990451669296450e-17,5.592506389763567149e-18
1.120720720720720692e+03,1.735511110585235785e-17,4.884166628957030396e-18
1.121971971971971925e+03,1.775287836392579197e-17,4.119404590170357438e-18
1.123223223223223158e+03,1.808383642987599779e-17,3.305142532756560364e-18
1.124474474474474391e+03,1.833975149478636574e-17,2.450258705794649684e-18
1.125725725725725624e+03,1.851401867261495612e-17,1.565340348904474894e-18
1.126976976976976857e+03,1.860208436346610815e-17,6.622913619262418300e-19
1.128228228228228090e+03,1.860174935607840905e-17,-2.461794988036746035e-19
1.129479479479479323e+03,1.851331555066050489e-17,-1.147145978580840155e-18
1.130730730730730784e+03,1.833955794551392534e-17,-2.028071322996350033e-18
1.131981981981982017e+03,1.808552593907612843e-17,-2.877375920508957899e-18
1.133233233233233250e+03,1.775819953074268086e-17,-3.684913156053199344e-18
1.134484484484484483e+03,1.736604240200154148e-17,-4.442315632401472155e-18
1.135735735735735716e+03,1.691850233150857753e-17,-5.143193105549893470e-18
1.136986986986986949e+03,1.642550925773359314e-17,-5.783183139818468730e-18
1.138238238238238182e+03,1.589701387477513555e-17,-6.359871976613140087e-18
1.139489489489489642e+03,1.534259757435071424e-17,-6.872614125621762762e-18
1.140740740740740875e+03,1.477117085937485466e-17,-7.322284048814947049e-18
1.141991991991992109e+03,1.419076465414893021e-17,-7.710992718860891457e-18
1.143243243243243342e+03,1.360840892604369789e-17,-8.041797335863822561e-18
1.144494494494494575e+03,1.303008642231426087e-17,-8.318425868991271766e-18
1.145745745745745808e+03,1.246074600829474391e-17,-8.545030936894388439e-18
1.146996996996997041e+03,1.190435945681501319e-17,-8.725980990469219485e-18
1.148248248248248274e+03,1.136400676532607281e-17,-8.865691454252366875e-18
1.149499499499499507e+03,1.084197736980489164e-17,-8.968494637964788199e-18
1.150750750750750740e+03,1.033987733500579984e-17,-9.038544775039341276e-18
1.152002002002001973e+03,9.858735275141015443e-18,-9.079753246971341234e-18
1.153253253253253206e+03,9.399102127506591130e-18,-9.095748619917781738e-18
1.154504504504504439e+03,8.961141839787206897e-18,-9.089856271868607734e-18
1.155755755755755672e+03,8.544711516450072008e-18,-9.065092888927396891e-18
1.157007007007006905e+03,8.149430637756267390e-18,-9.024171779131380244e-18
1.158258258258258138e+03,7.774739682706748354e-18,-8.969515668391095524e-18
1.159509509509509371e+03,7.419948929305944223e-18,-8.903274328212579040e-18
1.160760760760760604e+03,7.084278442470957072e-18,-8.827344996422063203e-18
1.162012012012012065e+03,6.766890352282316305e-18,-8.743394071967591512e-18
1.163263263263263298e+03,6.466914521505300929e-18,-8.652878990410907906e-18
1.164514514514514531e+03,6.183468638155851399e-18,-8.557069524360811267e-18
1.165765765765765764e+03,5.915673672927323655e-18,-8.457068013731069760e-18
1.167017017017016997e+03,5.662665530873106721e-18,-8.353828226751324522e-18
1.168268268268268230e+03,5.423603613913820438e-18,-8.248172696318085856e-18
1.169519519519519463e+03,5.197676902904845967e-18,-8.140808478572100684e-18
1.170770770770770923e+03,4.984108069309328635e-18,-8.032341350996854333e-18
1.172022022022022156e+03,4.782156038891752215e-18,-7.923288513669608525e-18
1.173273273273273389e+03,4.591117353771028858e-18,-7.814089885843181279e-18
1.174524524524524622e+03,4.410326614257805110e-18,-7.705118105717608405e-18
1.175775775775775855e+03,4.239156227269855018e-18,-7.596687347863012674e-18
1.177027027027027088e+03,4.077015642657445183e-18,-7.489061073137628994e-18
1.178278278278278322e+03,3.923350221291512278e-18,-7.382458822229158658e-18
1.179529529529529555e+03,3.777639848121612510e-18,-7.277062157683074850e-18
1.180780780780780788e+03,3.639397378524641692e-18,-7.173019851573253557e-18
1.182032032032032021e+03,3.508166986192441497e-18,-7.070452407599019968e-18
1.183283283283283254e+03,3.383522464705360015e-18,-6.969455997882630766e-18
1.184534534534534487e+03,3.265065522106546465e-18,-6.870105886448297052e-18
1.185785785785785720e+03,3.152424097614270978e-18,-6.772459403498025035e-18
1.187037037037036953e+03,3.045250721595337910e-18,-6.676558527295785837e-18
1.188288288288288186e+03,2.943220933643159994e-18,-6.582432123781280426e-18
1.189539539539539419e+03,2.846031768726375771e-18,-6.490097887983255278e-18
1.190790790790790652e+03,2.753400317609383773e-18,-6.399564025870560953e-18
1.192042042042041885e+03,2.665062364874315323e-18,-6.310830710443268993e-18
1.193293293293293345e+03,2.580771105703395880e-18,-6.223891341579124125e-18
1.194544544544544578e+03,2.500295940969370641e-18,-6.138733635372475779e-18
1.195795795795795812e+03,2.423421349004032871e-18,-6.055340565380043717e-18
1.197047047047047045e+03,2.349945831580500524e-18,-5.973691175278420284e-18
1.198298298298298278e+03,2.279680931073863430e-18,-5.893761279893636935e-18
1.199549549549549511e+03,2.212450315397898701e-18,-5.815524069342899857e-18
1.200800800800800744e+03,2.148088927105185305e-18,-5.738950629095041362e-18
1.202052052052052204e+03,2.086442192944214183e-18,-5.664010387072383132e-18
1.203303303303303437e+03,2.027365290162707610e-18,-5.590671497454261777e-18
1.204554554554554670e+03,1.970722465904587764e-18,-5.518901169569908897e-18
1.205805805805805903e+03,1.916386406154581927e-18,-5.448665949165772238e-18
1.207057057057057136e+03,1.864237650820547171e-18,-5.379931958372517951e-18
1.208308308308308369e+03,1.814164051702692717e-18,-5.312665099866241108e-18
1.209559559559559602e+03,1.766060270269249342e-18,-5.246831229996029186e-18
1.210810810810810835e+03,1.719827312335340638e-18,-5.182396305023787081e-18
1.212062062062062068e+03,1.675372096920347291e-18,-5.119326504078599958e-18
1.213313313313313301e+03,1.632607056735630241e-18,-5.057588331956068993e-18
1.214564564564564535e+03,1.591449767926463324e-18,-4.997148704483355025e-18
1.215815815815815768e+03,1.551822606857877654e-18,-4.937975018815073792e-18
1.217067067067067001e+03,1.513652431892407770e-18,-4.880035210716248755e-18
1.218318318318318234e+03,1.476870288257706348e-18,-4.823297800619828712e-18
1.219569569569569467e+03,1.441411134243957841e-18,-4.767731930013655093e-18
1.220820820820820700e+03,1.407213587103294489e-18,-4.713307389508015874e-18
1.222072072072071933e+03,1.374219687148356097e-18,-4.659994639759688046e-18
1.223323323323323166e+03,1.342374678662186370e-18,-4.607764826273800862e-18
1.224574574574574626e+03,1.311626806339916273e-18,-4.556589788972341899e-18
1.225825825825825859e+03,1.281927126081989505e-18,-4.506442067301127003e-18
1.227077077077077092e+03,1.253229329051482235e-18,-4.457294901546451514e-18
1.228328328328328325e+03,1.225489577993190950e-18,-4.409122230944034289e-18
1.229579579579579558e+03,1.198666354891216260e-18,-4.361898689086411259e-18
1.230830830830830791e+03,1.172720319114373097e-18,-4.315599597067798103e-18
1.232082082082082252e+03,1.147614175265779889e-18,-4.270200954747149888e-18
1.233333333333333485e+03,1.123312550014757344e-18,-4.225679430459435009e-18
1.234584584584584718e+03,1.099781877245785408e-18,-4.182012349460526984e-18
1.235835835835835951e+03,1.076990290911667254e-18,-4.139177681352765485e-18
1.237087087087087184e+03,1.054907525025887938e-18,-4.097154026704192118e-18
1.238338338338338417e+03,1.033504820273508150e-18,-4.055920603045450450e-18
1.239589589589589650e+03,1.012754836760247450e-18,-4.015457230402201810e-18
1.240840840840840883e+03,9.926315724569922520e-19,-3.975744316499088368e-18
1.242092092092092116e+03,9.731102869309953720e-19,-3.936762841751345502e-18
1.243343343343343349e+03,9.541674299866964379e-19,-3.898494344143466829e-18
1.244594594594594582e+03,9.357805748679234500e-19,-3.860920904079293077e-18
1.245845845845845815e+03,9.179283557000040760e-19,-3.824025129275332683e-18
1.247097097097097048e+03,9.005904088745773648e-19,-3.787790139757433950e-18
1.248348348348348281e+03,8.837473181026425661e-19,-3.752199553011718809e-18
1.249599599599599514e+03,8.673805628818618888e-19,-3.717237469331725698e-18
1.250850850850850748e+03,8.514724701433066634e-19,-3.682888457396607792e-18
1.252102102102101981e+03,8.360061688603516481e-19,-3.649137540108854929e-18
1.253353353353353214e+03,8.209655474184851476e-19,-3.615970180714282119e-18
1.254604604604604447e+03,8.063352135597661257e-19,-3.583372269222505519e-18
1.255855855855855907e+03,7.921004567291907891e-19,-3.551330109141633084e-18
1.257107107107107140e+03,7.782472126630678266e-19,-3.519830404537846525e-18
1.258358358358358373e+03,7.647620300708431947e-19,-3.488860247426837926e-18
1.259609609609609606e+03,7.516320392728340647e-19,-3.458407105502132353e-18
1.260860860860860839e+03,7.388449226659311555e-19,-3.428458810202411101e-18
1.262112112112112072e+03,7.263888868987143058e-19,-3.399003545118615210e-18
1.263363363363363533e+03,7.142526366456472655e-19,-3.370029834739546961e-18
1.264614614614614766e+03,7.024253498779389350e-19,-3.341526533533607390e-18
1.265865865865865999e+03,6.908966545357424324e-19,-3.313482815362936216e-18
1.267117117117117232e+03,6.796566065131075888e-19,-3.285888163225464453e-18
1.268368368368368465e+03,6.686956688731788766e-19,-3.258732359319472080e-18
1.269619619619619698e+03,6.580046922168257528e-19,-3.232005475424580236e-18
1.270870870870870931e+03,6.475748961331959256e-19,-3.205697863592719531e-18
1.272122122122122164e+03,6.373978516655002507e-19,-3.179800147142054841e-18
1.273373373373373397e+03,6.274654647298962531e-19,-3.154303211946650122e-18
1.274624624624624630e+03,6.177699604294696428e-19,-3.129198198014296267e-18
1.275875875875875863e+03,6.083038682092813779e-19,-3.104476491344992779e-18
1.277127127127127096e+03,5.990600078018973615e-19,-3.080129716062092213e-18
1.278378378378378329e+03,5.900314759163339357e-19,-3.056149726808524608e-18
1.279629629629629562e+03,5.812116336262822476e-19,-3.032528601400087730e-18
1.280880880880880795e+03,5.725940944164834495e-19,-3.009258633728144467e-18
1.282132132132132028e+03,5.641727128486957835e-19,-2.986332326903874217e-18
1.283383383383383261e+03,5.559415738112758318e-19,-2.963742386636562506e-18
1.284634634634634494e+03,5.478949823186135375e-19,-2.941481714838276358e-18
1.285885885885885727e+03,5.400274538288818689e-19,-2.919543403447594160e-18
1.287137137137137188e+03,5.323337050505177851e-19,-2.897920728465084985e-18
1.288388388388388421e+03,5.248086452097423273e-19,-2.876607144193466880e-18
1.289639639639639654e+03,5.174473677531362463e-19,-2.855596277675464567e-18
1.290890890890890887e+03,5.102451424609183623e-19,-2.834881923322601526e-18
1.292142142142142120e+03,5.031974079480942735e-19,-2.814458037728373673e-18
1.293393393393393353e+03,4.962997645320039931e-19,-2.794318734659319268e-18
1.294644644644644814e+03,4.895479674461596859e-19,-2.774458280217814360e-18
1.295895895895896047e+03,4.829379203814543258e-19,-2.754871088170522478e-18
1.297147147147147280e+03,4.764656693369760131e-19,-2.735551715436640654e-18
1.298398398398398513e+03,4.701273967637156002e-19,-2.716494857730227546e-18
1.299649649649649746e+03,4.639194159854990284e-19,-2.697695345351216049e-18
1.300900900900900979e+03,4.578381658823214571e-19,-2.679148139119638439e-18
1.302152152152152212e+03,4.518802058222386369e-19,-2.660848326448090538e-18
1.303403403403403445e+03,4.460422108286838638e-19,-2.642791117547320384e-18
1.304654654654654678e+03,4.403209669709197088e-19,-2.624971841760235222e-18
1.305905905905905911e+03,4.347133669660093385e-19,-2.607385944019676457e-18
1.307157157157157144e+03,4.292164059813613526e-19,-2.590028981425458579e-18
1.308408408408408377e+03,4.238271776275533716e-19,-2.572896619936415007e-18
1.309659659659659610e+03,4.185428701316899376e-19,-2.555984631173229580e-18
1.310910910910910843e+03,4.133607626821556133e-19,-2.539288889328146759e-18
1.312162162162162076e+03,4.082782219360610134e-19,-2.522805368177549217e-18
1.313413413413413309e+03,4.032926986812651771e-19,-2.506530138193859106e-18
1.314664664664664542e+03,3.984017246452110020e-19,-2.490459363753017052e-18
1.315915915915915775e+03,3.936029094433213143e-19,-2.474589300434207815e-18
1.317167167167167008e+03,3.888939376600476004e-19,-2.458916292408431404e-18
1.318418418418418469e+03,3.842725660560740833e-19,-2.443436769912763818e-18
1.319669669669669702e+03,3.797366208955130611e-19,-2.428147246807185493e-18
1.320920920920920935e+03,3.752839953872883419e-19,-2.413044318211081226e-18
1.322172172172172168e+03,3.709126472351739174e-19,-2.398124658216462607e-18
1.323423423423423401e+03,3.666205962912944116e-19,-2.383385017675232051e-18
1.324674674674674634e+03,3.624059223081550454e-19,-2.368822222057847993e-18
1.325925925925926094e+03,3.582667627845057982e-19,-2.354433169380778130e-18
1.327177177177177327e+03,3.542013109006464770e-19,-2.340214828200397639e-18
1.328428428428428560e+03,3.502078135389383462e-19,-2.326164235670837120e-18
1.329679679679679793e+03,3.462845693855906736e-19,-2.312278495663679477e-18
1.330930930930931027e+03,3.424299271099107801e-19,-2.298554776947158401e-18
1.332182182182182260e+03,3.386422836174763836e-19,-2.284990311422889383e-18
1.333433433433433493e+03,3.349200823738112792e-19,-2.271582392418020136e-18
1.334684684684684726e+03,3.312618117953707301e-19,-2.258328373030925342e-18
1.335935935935935959e+03,3.276660037047569109e-19,-2.245225664528511687e-18
1.337187187187187192e+03,3.241312318472871129e-19,-2.232271734793395629e-18
1.338438438438438425e+03,3.206561104661373741e-19,-2.219464106819151994e-18
1.339689689689689658e+03,3.172392929334681756e-19,-2.206800357252046816e-18
1.340940940940940891e+03,3.138794704350158300e-19,-2.194278114977548812e-18
1.342192192192192124e+03,3.105753707058162989e-19,-2.181895059750178529e-18
1.343443443443443357e+03,3.073257568147898054e-19,-2.169648920865127433e-18
1.344694694694694590e+03,3.041294259960610731e-19,-2.157537475870253747e-18
1.345945945945945823e+03,3.009852085249773184e-19,-2.145558549317074507e-18
1.347197197197197056e+03,2.978919666368850161e-19,-2.133710011549392605e-18
1.348448448448448289e+03,2.948485934868382627e-19,-2.121989777528350102e-18
1.349699699699699750e+03,2.918540121484627393e-19,-2.110395805692588545e-18
1.350950950950950983e+03,2.889071746503290377e-19,-2.098926096852416972e-18
1.352202202202202216e+03,2.860070610482214212e-19,-2.087578693116757701e-18
1.353453453453453449e+03,2.831526785318132757e-19,-2.076351676851874588e-18
1.354704704704704682e+03,2.803430605642773104e-19,-2.065243169670712786e-18
1.355955955955955915e+03,2.775772660534783139e-19,-2.054251331451927865e-18
1.357207207207207375e+03,2.748543785534159620e-19,-2.043374359387539652e-18
1.358458458458458608e+03,2.721735054946854195e-19,-2.032610487058342948e-18
1.359709709709709841e+03,2.695337774427429297e-19,-2.021957983536077129e-18
