# wavelength(um), Re_sigma(S), Im_sigma(S)
3.679999999999999938e-01,5.641372893275196617e-04,-9.659384250475462933e-05
3.689999999999999947e-01,5.616236930139624321e-04,-9.798338486885241837e-05
3.699999999999999956e-01,5.591630346789113262e-04,-9.920472406421991171e-05
3.709999999999999964e-01,5.567659124121273782e-04,-1.002654381361409641e-04
3.719999999999999973e-01,5.544416022374535095e-04,-1.011742458327747409e-04
3.729999999999999982e-01,5.521992185499296352e-04,-1.019393958916656965e-04
3.739999999999999991e-01,5.500462217610568904e-04,-1.025701871477254466e-04
3.750000000000000000e-01,5.479900286815033968e-04,-1.030763725015840628e-04
3.760000000000000009e-01,5.460362589048908680e-04,-1.034671790250667883e-04
3.770000000000000018e-01,5.441906974154203961e-04,-1.037524786993861798e-04
3.780000000000000027e-01,5.424577558539024581e-04,-1.039416521842277381e-04
3.790000000000000036e-01,5.408408989706421817e-04,-1.040449472446688744e-04
3.800000000000000044e-01,5.393437881155318907e-04,-1.040719288491668930e-04
3.810000000000000053e-01,5.379683713058525975e-04,-1.040319977041333200e-04
3.820000000000000062e-01,5.367166956697052346e-04,-1.039349850202882475e-04
3.830000000000000071e-01,5.355897083225570187e-04,-1.037904493796559986e-04
3.840000000000000080e-01,5.345878903368700896e-04,-1.036072086738540067e-04
3.850000000000000089e-01,5.337112490664456090e-04,-1.033950099214088909e-04
3.860000000000000098e-01,5.329590767224636188e-04,-1.031621088806947291e-04
3.870000000000000107e-01,5.323307783242500150e-04,-1.029175947918968103e-04
3.880000000000000115e-01,5.318242494473841581e-04,-1.026697275627763993e-04
3.890000000000000124e-01,5.314374447198514945e-04,-1.024266946614672358e-04
3.900000000000000133e-01,5.311680184311558467e-04,-1.021965768939132641e-04
3.910000000000000142e-01,5.310131690052536865e-04,-1.019871573586005943e-04
3.920000000000000151e-01,5.309693697209240740e-04,-1.018051725670678320e-04
3.930000000000000160e-01,5.310330247212278684e-04,-1.016584059743268095e-04
3.940000000000000169e-01,5.312000561957991090e-04,-1.015530995776327012e-04
3.950000000000000178e-01,5.314661982205584265e-04,-1.014959997017598944e-04
3.960000000000000187e-01,5.318262524007923240e-04,-1.014930034855159789e-04
3.970000000000000195e-01,5.322754683320310562e-04,-1.015496981988051132e-04
3.980000000000000204e-01,5.328084231304892632e-04,-1.016715931617890917e-04
3.990000000000000213e-01,5.334192599010825720e-04,-1.018636111548804573e-04
4.000000000000000222e-01,5.341023503458960150e-04,-1.021305346314105262e-04
4.010000000000000231e-01,5.348514626077978049e-04,-1.024763663230764864e-04
4.020000000000000240e-01,5.356600683955682661e-04,-1.029047298355035178e-04
4.030000000000000249e-01,5.365216922528599428e-04,-1.034189125198779161e-04
4.040000000000000258e-01,5.374297060218007765e-04,-1.040220203394094791e-04
4.050000000000000266e-01,5.383768990649720173e-04,-1.047160229430392920e-04
4.060000000000000275e-01,5.393565653148875167e-04,-1.055031453013405897e-04
4.069999999999999729e-01,5.403613644842878566e-04,-1.063848244891797728e-04
4.079999999999999738e-01,5.413840296964952687e-04,-1.073617921349852278e-04
4.089999999999999747e-01,5.424173218218124792e-04,-1.084344246615927412e-04
4.099999999999999756e-01,5.434544269531209337e-04,-1.096024278632588324e-04
4.109999999999999765e-01,5.444878039242977575e-04,-1.108654085695366995e-04
4.119999999999999774e-01,5.455103373363974495e-04,-1.122222919246073009e-04
4.129999999999999782e-01,5.465151855086386370e-04,-1.136711178458972284e-04
4.139999999999999791e-01,5.474955396985912125e-04,-1.152095459125507070e-04
4.149999999999999800e-01,5.484449358999512157e-04,-1.168352508734198049e-04
4.159999999999999809e-01,5.493565336073228007e-04,-1.185445637874909310e-04
4.169999999999999818e-01,5.502243557410161625e-04,-1.203340700382461075e-04
4.179999999999999827e-01,5.510427713783415870e-04,-1.221990997463712105e-04
4.189999999999999836e-01,5.518066223597517962e-04,-1.241355453225972624e-04
4.199999999999999845e-01,5.525104033787740484e-04,-1.261379477177911144e-04
4.209999999999999853e-01,5.531496480214679332e-04,-1.282013047422903094e-04
4.219999999999999862e-01,5.537206209818021710e-04,-1.303194121799217554e-04
4.229999999999999871e-01,5.542194242489575798e-04,-1.324861841302042394e-04
4.239999999999999880e-01,5.546429090204927151e-04,-1.346956018133700227e-04
4.249999999999999889e-01,5.549888316188111067e-04,-1.369406616474730842e-04
4.259999999999999898e-01,5.552553042480300313e-04,-1.392147455876149213e-04
4.269999999999999907e-01,5.554406966274817552e-04,-1.415110707907143084e-04
4.279999999999999916e-01,5.555443972443518258e-04,-1.438224486061684545e-04
4.289999999999999925e-01,5.555661549802136260e-04,-1.461420971724468039e-04
4.299999999999999933e-01,5.555068878361394498e-04,-1.484630521836847463e-04
4.309999999999999942e-01,5.553672223058184719e-04,-1.507783135109245088e-04
4.319999999999999951e-01,5.551490465175035064e-04,-1.530812713110360902e-04
4.329999999999999960e-01,5.548546538133839910e-04,-1.553654044189542449e-04
4.339999999999999969e-01,5.544867396548919984e-04,-1.576242871777097339e-04
4.349999999999999978e-01,5.540486902077153275e-04,-1.598520029850068139e-04
4.359999999999999987e-01,5.535444850803303935e-04,-1.620425985757580696e-04
4.369999999999999996e-01,5.529783135209932147e-04,-1.641912835514902581e-04
4.380000000000000004e-01,5.523551447555129484e-04,-1.662930944695674245e-04
4.390000000000000013e-01,5.516799675127456075e-04,-1.683431328115447454e-04
4.400000000000000022e-01,5.509585039557734262e-04,-1.703375844848954387e-04
4.410000000000000031e-01,5.501964170274710160e-04,-1.722730486633682523e-04
4.420000000000000040e-01,5.494003427121485006e-04,-1.741467182862967296e-04
4.430000000000000049e-01,5.485760058055232178e-04,-1.759558716213145040e-04
4.440000000000000058e-01,5.477307170401718829e-04,-1.776988470393996177e-04
4.450000000000000067e-01,5.468707989963270816e-04,-1.793744050437052215e-04
4.460000000000000075e-01,5.460033700832527632e-04,-1.809816868563493650e-04
4.470000000000000084e-01,5.451348339135523224e-04,-1.825206481679758966e-04
4.480000000000000093e-01,5.442729223045895222e-04,-1.839915396651645738e-04
4.490000000000000102e-01,5.434240303217299697e-04,-1.853958304940130065e-04
4.500000000000000111e-01,5.425952488516058714e-04,-1.867348017416537841e-04
4.510000000000000120e-01,5.417930782852949621e-04,-1.880107188512809477e-04
4.520000000000000129e-01,5.410244422896059568e-04,-1.892261293253808560e-04
4.530000000000000138e-01,5.402956054207911805e-04,-1.903848866854116297e-04
