# wavelength(um), Re_sigma(S), Im_sigma(S)
6.770000000000000462e-01,3.335075566519481996e-04,-2.806215504765782699e-04
6.780000000000000471e-01,3.340003348365448168e-04,-2.810070066453139123e-04
6.790000000000000480e-01,3.345162865725342916e-04,-2.814239591057283150e-04
6.800000000000000488e-01,3.350554427165924540e-04,-2.818754695593894796e-04
6.810000000000000497e-01,3.356172121999533779e-04,-2.823645000782625545e-04
6.820000000000000506e-01,3.362013096752865552e-04,-2.828942684769610461e-04
6.830000000000000515e-01,3.368075779623319133e-04,-2.834687140928509761e-04
6.840000000000000524e-01,3.374349867047420634e-04,-2.840919855168989243e-04
6.850000000000000533e-01,3.380831673410901851e-04,-2.847692949445026155e-04
6.860000000000000542e-01,3.387509509080371744e-04,-2.855079615750226256e-04
6.870000000000000551e-01,3.394375509106447360e-04,-2.863209336267014040e-04
6.879999999999999449e-01,3.401163779244283049e-04,-2.872273318802893972e-04
6.889999999999999458e-01,3.407659346229654812e-04,-2.882069623637912486e-04
6.899999999999999467e-01,3.413853237885850671e-04,-2.892490685334151031e-04
6.909999999999999476e-01,3.419732589435585174e-04,-2.903480582986588208e-04
6.919999999999999485e-01,3.425284491145531482e-04,-2.915000586670928691e-04
6.929999999999999494e-01,3.430500453219098166e-04,-2.927017544991416327e-04
6.939999999999999503e-01,3.435366026151413527e-04,-2.939506588350246927e-04
6.949999999999999512e-01,3.439870650873117592e-04,-2.952442887158056111e-04
6.959999999999999520e-01,3.444002834656900171e-04,-2.965803802972040567e-04
6.969999999999999529e-01,3.447749963910615124e-04,-2.979572836177884414e-04
6.979999999999999538e-01,3.451103534276926373e-04,-2.993729591358582531e-04
6.989999999999999547e-01,3.454050174400142398e-04,-3.008255672196445793e-04
6.999999999999999556e-01,3.456576502326125732e-04,-3.023132529826673843e-04
7.009999999999999565e-01,3.458676846378112065e-04,-3.038345827317119564e-04
7.019999999999999574e-01,3.460338752475599060e-04,-3.053874395261210739e-04
7.029999999999999583e-01,3.461550997947777019e-04,-3.069704117143036513e-04
7.039999999999999591e-01,3.462302593166156493e-04,-3.085816767464551994e-04
7.049999999999999600e-01,3.462586554963260053e-04,-3.102194190004632646e-04
7.059999999999999609e-01,3.462392693738291539e-04,-3.118819495796247478e-04
7.069999999999999618e-01,3.461711808645772650e-04,-3.135673312687434493e-04
7.079999999999999627e-01,3.460536870116469278e-04,-3.152741026328048602e-04
7.089999999999999636e-01,3.458857433699793820e-04,-3.169999707513612318e-04
7.099999999999999645e-01,3.456668275320078239e-04,-3.187433767282992392e-04
7.109999999999999654e-01,3.453961235094383381e-04,-3.205024909463301003e-04
7.119999999999999662e-01,3.450730854487772800e-04,-3.222751680125343458e-04
7.129999999999999671e-01,3.446973185924722110e-04,-3.240595789774425631e-04
7.139999999999999680e-01,3.442679749747295744e-04,-3.258536921131740898e-04
7.149999999999999689e-01,3.437848512226726713e-04,-3.276555870198737835e-04
7.159999999999999698e-01,3.432475260877933666e-04,-3.294632375955605760e-04
7.169999999999999707e-01,3.426557593051500917e-04,-3.312745401603479824e-04
7.179999999999999716e-01,3.420093279594389008e-04,-3.330873827308873788e-04
7.189999999999999725e-01,3.413081924292350007e-04,-3.348995785630701130e-04
7.199999999999999734e-01,3.405521351606064905e-04,-3.367093993744158941e-04
7.209999999999999742e-01,3.397413185701303570e-04,-3.385145799370185382e-04
7.219999999999999751e-01,3.388757603525639891e-04,-3.403129179423879580e-04
7.229999999999999760e-01,3.379559623413441716e-04,-3.421024072416992373e-04
7.239999999999999769e-01,3.369819833567725071e-04,-3.438808416599860307e-04
7.249999999999999778e-01,3.359542003674201001e-04,-3.456462797881423247e-04
7.259999999999999787e-01,3.348732127731054130e-04,-3.473963193701665219e-04
7.269999999999999796e-01,3.337395693439563636e-04,-3.491293557035277735e-04
7.279999999999999805e-01,3.325538482444176033e-04,-3.508428279233208021e-04
7.289999999999999813e-01,3.313170358484531929e-04,-3.525351787243501643e-04
7.299999999999999822e-01,3.300298183397923271e-04,-3.542040269864123441e-04
7.309999999999999831e-01,3.286931582408119659e-04,-3.558476653549252997e-04
7.319999999999999840e-01,3.273081401528302637e-04,-3.574641670342111068e-04
7.329999999999999849e-01,3.258758684073534526e-04,-3.590516171250859932e-04
7.339999999999999858e-01,3.243974668171529445e-04,-3.606081135247224466e-04
7.349999999999999867e-01,3.228743066483701746e-04,-3.621318730373536930e-04
7.359999999999999876e-01,3.213077320817875034e-04,-3.636215234221984948e-04
7.369999999999999885e-01,3.196991916931529449e-04,-3.650749195208697197e-04
7.379999999999999893e-01,3.180503489410263073e-04,-3.664909966781564792e-04
7.389999999999999902e-01,3.163624103448752574e-04,-3.678679348632397927e-04
7.399999999999999911e-01,3.146375047536025113e-04,-3.692043609927949939e-04
7.409999999999999920e-01,3.128768775739440328e-04,-3.704990555311360500e-04
7.419999999999999929e-01,3.110826778207261565e-04,-3.717506895949676191e-04
7.429999999999999938e-01,3.092565623240760243e-04,-3.729581350301980716e-04
7.439999999999999947e-01,3.074003623052691645e-04,-3.741202272275512036e-04
7.449999999999999956e-01,3.055161973262143218e-04,-3.752361010694140516e-04
7.459999999999999964e-01,3.036057989479869559e-04,-3.763048638841137608e-04
7.469999999999999973e-01,3.016710689485864699e-04,-3.773255885557359095e-04
7.479999999999999982e-01,2.997142467546183358e-04,-3.782978155586056075e-04
7.489999999999999991e-01,2.977374566956766228e-04,-3.792207774085278971e-04
7.500000000000000000e-01,2.957423226657280549e-04,-3.800938981743069234e-04
7.510000000000000009e-01,2.937311861454167182e-04,-3.809171231165751339e-04
7.520000000000000018e-01,2.917061611024909145e-04,-3.816897566117185333e-04
7.530000000000000027e-01,2.896690215408938458e-04,-3.824117890124823925e-04
7.540000000000000036e-01,2.876220848616391104e-04,-3.830832346929282230e-04
7.550000000000000044e-01,2.855673308246820734e-04,-3.837036866997207366e-04
7.560000000000000053e-01,2.835066643642427026e-04,-3.842736951639764303e-04
7.570000000000000062e-01,2.814421491704390964e-04,-3.847932248199063712e-04
7.580000000000000071e-01,2.793757754111012145e-04,-3.852626441247226745e-04
7.590000000000000080e-01,2.773093009483981980e-04,-3.856822252582165779e-04
7.600000000000000089e-01,2.752449027349321178e-04,-3.860524843021851706e-04
7.610000000000000098e-01,2.731843582299198409e-04,-3.863738912100734267e-04
7.620000000000000107e-01,2.711295294631791363e-04,-3.866472597475178194e-04
7.630000000000000115e-01,2.690817793521953628e-04,-3.868730217925165564e-04
7.640000000000000124e-01,2.670429843449908212e-04,-3.870521784181190175e-04
7.650000000000000133e-01,2.650146870499122363e-04,-3.871852971102933048e-04
7.660000000000000142e-01,2.629988392743227467e-04,-3.872731859438508558e-04
7.670000000000000151e-01,2.609965518213369900e-04,-3.873169063127380367e-04
7.680000000000000160e-01,2.590096207076903107e-04,-3.873174935738569482e-04
7.690000000000000169e-01,2.570393970907918651e-04,-3.872757588180595701e-04
7.700000000000000178e-01,2.550873090266208404e-04,-3.871928448816123330e-04
7.710000000000000187e-01,2.531543218024949796e-04,-3.870702015843188910e-04
7.720000000000000195e-01,2.512421019580411219e-04,-3.869087168548595332e-04
7.730000000000000204e-01,2.493514823331260542e-04,-3.867095156077692084e-04
7.740000000000000213e-01,2.474837421992493814e-04,-3.864741154936086952e-04
7.750000000000000222e-01,2.456398855269492643e-04,-3.862037528109587550e-04
7.760000000000000231e-01,2.438206911608776692e-04,-3.858995445118232033e-04
7.770000000000000240e-01,2.420271741311875156e-04,-3.855628820069817117e-04
7.780000000000000249e-01,2.402601694615333545e-04,-3.851951965829737636e-04
7.790000000000000258e-01,2.385204504725913443e-04,-3.847977519052848700e-04
7.800000000000000266e-01,2.368084973027300831e-04,-3.843720546490929889e-04
7.810000000000000275e-01,2.351250091318677433e-04,-3.839191930869705473e-04
7.820000000000000284e-01,2.334706416304979724e-04,-3.834407741799147570e-04
7.830000000000000293e-01,2.318457882584083621e-04,-3.829381178540127752e-04
7.840000000000000302e-01,2.302507137389867627e-04,-3.824127371467001772e-04
7.850000000000000311e-01,2.286860642607426678e-04,-3.818656863066462832e-04
7.860000000000000320e-01,2.271517203750754628e-04,-3.812983840780685783e-04
7.870000000000000329e-01,2.256484339707986195e-04,-3.807123430747034760e-04
7.880000000000000338e-01,2.241760237214793195e-04,-3.801087991418644315e-04
7.890000000000000346e-01,2.227345028323908906e-04,-3.794890925946808901e-04
7.900000000000000355e-01,2.213243929300406747e-04,-3.788545853380052538e-04
7.910000000000000364e-01,2.199452923034682231e-04,-3.782063611439259255e-04
7.920000000000000373e-01,2.185971939139906941e-04,-3.775457249723902439e-04
7.930000000000000382e-01,2.172802827389395811e-04,-3.768740860717040959e-04
7.940000000000000391e-01,2.159941440467114137e-04,-3.761924918918094218e-04
7.950000000000000400e-01,2.147387558483465208e-04,-3.755022110692625426e-04
7.960000000000000409e-01,2.135138549622833161e-04,-3.748042275622234711e-04
7.970000000000000417e-01,2.123192563200346802e-04,-3.740998270617921237e-04
7.980000000000000426e-01,2.111545764850065597e-04,-3.733901665569118455e-04
7.990000000000000435e-01,2.100195474462206353e-04,-3.726761960168275601e-04
8.000000000000000444e-01,2.089137452060139185e-04,-3.719588947437321540e-04
8.010000000000000453e-01,2.078369013721051363e-04,-3.712391924529783458e-04
8.020000000000000462e-01,2.067883609752958372e-04,-3.705184354646336642e-04
8.030000000000000471e-01,2.057679337035784944e-04,-3.697971837376591445e-04
8.040000000000000480e-01,2.047750443397617650e-04,-3.690764150368254113e-04
8.050000000000000488e-01,2.038090046911188852e-04,-3.683572891849726640e-04
8.060000000000000497e-01,2.028696294511396199e-04,-3.676403404159710978e-04
8.070000000000000506e-01,2.019561588189516853e-04,-3.669264030504515786e-04
8.080000000000000515e-01,2.010681438086833251e-04,-3.662162264976703829e-04
8.090000000000000524e-01,2.002048701305460081e-04,-3.655107810788080658e-04
8.100000000000000533e-01,1.993658198516528072e-04,-3.648104945455830049e-04
8.110000000000000542e-01,1.985504016202713294e-04,-3.641161318466573388e-04
8.120000000000000551e-01,1.977580278903035102e-04,-3.634284505485650945e-04
8.129999999999999449e-01,1.969878886176893904e-04,-3.627479347121718273e-04
8.139999999999999458e-01,1.962395199372165069e-04,-3.620751403104033837e-04
8.149999999999999467e-01,1.955123100230390411e-04,-3.614106551755373012e-04
8.159999999999999476e-01,1.948055003225066125e-04,-3.607550985878024566e-04
8.169999999999999485e-01,1.941184148662918876e-04,-3.601087456695019904e-04
8.179999999999999494e-01,1.934504562181910863e-04,-3.594721696543927512e-04
8.189999999999999503e-01,1.928008076911125570e-04,-3.588456747703550401e-04
8.199999999999999512e-01,1.921690317447267299e-04,-3.582297894251635869e-04
8.209999999999999520e-01,1.915542851810763747e-04,-3.576246609726399734e-04
8.219999999999999529e-01,1.909560256446664230e-04,-3.570309972835973263e-04
8.229999999999999538e-01,1.903733480425745257e-04,-3.564486406297914974e-04
8.239999999999999547e-01,1.898058687487818729e-04,-3.558782567127817932e-04
8.249999999999999556e-01,1.892525798724974551e-04,-3.553198696882935940e-04
8.259999999999999565e-01,1.887131832301177314e-04,-3.547738057643574851e-04
8.269999999999999574e-01,1.881868298426453282e-04,-3.542400507246217922e-04
8.279999999999999583e-01,1.876727835401957535e-04,-3.537190350815213528e-04
8.289999999999999591e-01,1.871705379128261917e-04,-3.532108190115053857e-04
8.299999999999999600e-01,1.866794420957051568e-04,-3.527154978120460070e-04
8.309999999999999609e-01,1.861988494434202207e-04,-3.522331661086100757e-04
8.319999999999999618e-01,1.857279698262743345e-04,-3.517639532262535184e-04
8.329999999999999627e-01,1.852664247721616563e-04,-3.513077344922788223e-04
8.339999999999999636e-01,1.848134671665265264e-04,-3.508647859796091900e-04
8.349999999999999645e-01,1.843684309135099736e-04,-3.504350530856947636e-04
8.359999999999999654e-01,1.839308006598037114e-04,-3.500184464985115667e-04
8.369999999999999662e-01,1.835000990268776419e-04,-3.496150241462680532e-04
8.379999999999999671e-01,1.830754887067543365e-04,-3.492246205697999498e-04
8.389999999999999680e-01,1.826566453468169272e-04,-3.488472592925710323e-04
8.399999999999999689e-01,1.822429194409727604e-04,-3.484828872588357400e-04
8.409999999999999698e-01,1.818339221301691578e-04,-3.481312365364205548e-04
8.419999999999999707e-01,1.814287527095216905e-04,-3.477924703226902242e-04
8.429999999999999716e-01,1.810273194153583123e-04,-3.474662528897603446e-04
8.439999999999999725e-01,1.806288039963246548e-04,-3.471524223832502692e-04
8.449999999999999734e-01,1.802328965441941412e-04,-3.468510051445844282e-04
8.459999999999999742e-01,1.798390749083053587e-04,-3.465617715536704587e-04
8.469999999999999751e-01,1.794469643920068341e-04,-3.462844588794019044e-04
8.479999999999999760e-01,1.790558684184364040e-04,-3.460187289308575345e-04
8.489999999999999769e-01,1.786656635522802859e-04,-3.457647214755798864e-04
8.499999999999999778e-01,1.782756574004231169e-04,-3.455220995420861790e-04
8.509999999999999787e-01,1.778855938351760148e-04,-3.452904258140241192e-04
8.519999999999999796e-01,1.774950307926189503e-04,-3.450697650665940472e-04
8.529999999999999805e-01,1.771035708618633566e-04,-3.448597156976424666e-04
8.539999999999999813e-01,1.767109624366448189e-04,-3.446598440547003002e-04
8.549999999999999822e-01,1.763167680205105349e-04,-3.444702166469365968e-04
8.559999999999999831e-01,1.759207720448637045e-04,-3.442905452432073262e-04
8.569999999999999840e-01,1.755224061449416572e-04,-3.441203222874217988e-04
8.579999999999999849e-01,1.751214911128832498e-04,-3.439594054445642250e-04
8.589999999999999858e-01,1.747179252843120210e-04,-3.438073331559541148e-04
8.599999999999999867e-01,1.743111343067337492e-04,-3.436642073786110637e-04
8.609999999999999876e-01,1.739009857608201650e-04,-3.435294249462092671e-04
8.619999999999999885e-01,1.734872711783107377e-04,-3.434027036064117165e-04
8.629999999999999893e-01,1.730698157883851741e-04,-3.432839047032246616e-04
8.639999999999999902e-01,1.726482045931641244e-04,-3.431724946374687204e-04
8.649999999999999911e-01,1.722224402357602866e-04,-3.430684460465641887e-04
8.659999999999999920e-01,1.717921101444571785e-04,-3.429712270931985956e-04
8.669999999999999929e-01,1.713573604824851092e-04,-3.428807790510087590e-04
8.679999999999999938e-01,1.709176062788510199e-04,-3.427964621348472381e-04
8.689999999999999947e-01,1.704731693158650994e-04,-3.427183289094926262e-04
8.699999999999999956e-01,1.700236413077462145e-04,-3.426458511625908045e-04
8.709999999999999964e-01,1.695688541591837720e-04,-3.425788951824373582e-04
8.719999999999999973e-01,1.691088598869008679e-04,-3.425169799830950104e-04
8.729999999999999982e-01,1.686434915241793000e-04,-3.424599732068876181e-04
8.739999999999999991e-01,1.681728339494348334e-04,-3.424075375156361979e-04
8.750000000000000000e-01,1.676965480783556509e-04,-3.423594317829987120e-04
8.760000000000000009e-01,1.672147201192319065e-04,-3.423153202441213600e-04
8.770000000000000018e-01,1.667273582252204608e-04,-3.422751821056892099e-04
8.780000000000000027e-01,1.662343450025669824e-04,-3.422384323353209979e-04
8.790000000000000036e-01,1.657357207696384975e-04,-3.422051922298696030e-04
8.800000000000000044e-01,1.652314007471428041e-04,-3.421750192680073923e-04
8.810000000000000053e-01,1.647215040642715752e-04,-3.421477225446436393e-04
8.820000000000000062e-01,1.642060091180948353e-04,-3.421231428399793234e-04
8.830000000000000071e-01,1.636848157363469470e-04,-3.421014330819320613e-04
8.840000000000000080e-01,1.631582624187584885e-04,-3.420820608703019176e-04
8.850000000000000089e-01,1.626261085005310672e-04,-3.420652104006866858e-04
8.860000000000000098e-01,1.620885036995237246e-04,-3.420508328611381217e-04
8.870000000000000107e-01,1.615455178463367472e-04,-3.420391903173129983e-04
8.880000000000000115e-01,1.609972499980893046e-04,-3.420306838866889274e-04
8.890000000000000124e-01,1.604434491219244874e-04,-3.420268129725838324e-04
8.900000000000000133e-01,1.598807355324470634e-04,-3.420281336795381140e-04
8.910000000000000142e-01,1.593076258887232797e-04,-3.420317200246407864e-04
8.920000000000000151e-01,1.587247709500258855e-04,-3.420363880549909621e-04
8.930000000000000160e-01,1.581320657545993936e-04,-3.420408285549979928e-04
8.940000000000000169e-01,1.575298947667969258e-04,-3.420446526384956620e-04
8.950000000000000178e-01,1.569186639554685987e-04,-3.420468870216236711e-04
8.960000000000000187e-01,1.562983119766557722e-04,-3.420470972005382540e-04
8.970000000000000195e-01,1.556695035412861854e-04,-3.420448430275052870e-04
8.980000000000000204e-01,1.550321497241797120e-04,-3.420395547473858142e-04
8.990000000000000213e-01,1.543868058493426409e-04,-3.420309651047636875e-04
9.000000000000000222e-01,1.537333850896967029e-04,-3.420185080338111229e-04
9.010000000000000231e-01,1.530725819002374687e-04,-3.420018918479669854e-04
9.020000000000000240e-01,1.524043682660827217e-04,-3.419808317694471300e-04
9.030000000000000249e-01,1.517291326688374471e-04,-3.419549587847192065e-04
9.040000000000000258e-01,1.510471534830251639e-04,-3.419240728453418069e-04
9.050000000000000266e-01,1.503586808749168174e-04,-3.418878372294477993e-04
9.060000000000000275e-01,1.496639654175703157e-04,-3.418459172019850073e-04
9.070000000000000284e-01,1.489633136803429885e-04,-3.417982559760054571e-04
9.080000000000000293e-01,1.482571140499035006e-04,-3.417444945601192025e-04
9.090000000000000302e-01,1.475455344022562365e-04,-3.416846071073701037e-04
9.100000000000000311e-01,1.468288251847639416e-04,-3.416182657891288460e-04
9.110000000000000320e-01,1.461072644369077573e-04,-3.415452824155341114e-04
9.120000000000000329e-01,1.453812673607101594e-04,-3.414654434022962684e-04
9.130000000000000338e-01,1.446508905507357405e-04,-3.413788928349574796e-04
9.140000000000000346e-01,1.439166315030279935e-04,-3.412851186291205067e-04
9.150000000000000355e-01,1.431785461806040708e-04,-3.411842673104315666e-04
9.160000000000000364e-01,1.424370477342076780e-04,-3.410761316914020310e-04
9.170000000000000373e-01,1.416924381068888862e-04,-3.409606700929941831e-04
9.180000000000000382e-01,1.409449920899872807e-04,-3.408377054822618320e-04
9.190000000000000391e-01,1.401947110581848596e-04,-3.407071148125970813e-04
9.200000000000000400e-01,1.394421945031242298e-04,-3.405689447169471095e-04
9.210000000000000409e-01,1.386874684573426825e-04,-3.404232107248364686e-04
9.220000000000000417e-01,1.379309160845704001e-04,-3.402695792713915737e-04
9.230000000000000426e-01,1.371727501938761165e-04,-3.401083147939488733e-04
9.240000000000000435e-01,1.364132163169584015e-04,-3.399391125439508695e-04
9.250000000000000444e-01,1.356526493214915620e-04,-3.397620748598451199e-04
9.260000000000000453e-01,1.348911674180021706e-04,-3.395772044270935035e-04
9.270000000000000462e-01,1.341290780706051863e-04,-3.393844695824961804e-04
9.280000000000000471e-01,1.333665928227108666e-04,-3.391838573854860758e-04
9.290000000000000480e-01,1.326039359152610261e-04,-3.389753533906088084e-04
9.300000000000000488e-01,1.318413712134340967e-04,-3.387589368131803998e-04
9.310000000000000497e-01,1.310791184086675381e-04,-3.385347351517331441e-04
9.320000000000000506e-01,1.303173743150744799e-04,-3.383026018244883167e-04
9.330000000000000515e-01,1.295564076165825137e-04,-3.380627957203929273e-04
9.340000000000000524e-01,1.287963861839522533e-04,-3.378151768778598425e-04
9.350000000000000533e-01,1.280375282637490227e-04,-3.375597363598557658e-04
9.360000000000000542e-01,1.272800715898498940e-04,-3.372967393370106715e-04
9.370000000000000551e-01,1.265241947360213996e-04,-3.370260461341398383e-04
9.379999999999999449e-01,1.257700958565044123e-04,-3.367477910456125110e-04
9.389999999999999458e-01,1.250179618318832629e-04,-3.364619724586802351e-04
9.399999999999999467e-01,1.242679786208322193e-04,-3.361685895743163127e-04
9.409999999999999476e-01,1.235203504868821755e-04,-3.358679139094157030e-04
9.419999999999999485e-01,1.227752741076957048e-04,-3.355599429900384080e-04
9.429999999999999494e-01,1.220328918877686494e-04,-3.352446842499932043e-04
9.439999999999999503e-01,1.212933813107400010e-04,-3.349222764713251387e-04
9.449999999999999512e-01,1.205569226187392089e-04,-3.345927211373016588e-04
9.459999999999999520e-01,1.198236642881120474e-04,-3.342561620793924482e-04
9.469999999999999529e-01,1.190937932831400841e-04,-3.339127363755213886e-04
9.479999999999999538e-01,1.183674333712450452e-04,-3.335624553711849624e-04
9.489999999999999547e-01,1.176447559092446907e-04,-3.332054587428661687e-04
9.499999999999999556e-01,1.169258826773599919e-04,-3.328417584144778736e-04
9.509999999999999565e-01,1.162110043439283636e-04,-3.324716262488973937e-04
9.519999999999999574e-01,1.155001924496169000e-04,-3.320949467803345880e-04
9.529999999999999583e-01,1.147936351738313614e-04,-3.317119917047527643e-04
9.539999999999999591e-01,1.140914368581891116e-04,-3.313227755119947876e-04
9.549999999999999600e-01,1.133937222663245110e-04,-3.309274443129108022e-04
9.559999999999999609e-01,1.127006280640637984e-04,-3.305261418271617630e-04
9.569999999999999618e-01,1.120122687747827689e-04,-3.301188805979770918e-04
9.579999999999999627e-01,1.113287396759113569e-04,-3.297058105376970884e-04
9.589999999999999636e-01,1.106501610973307804e-04,-3.292870770021547001e-04
9.599999999999999645e-01,1.099766521772784552e-04,-3.288628250006836776e-04
9.609999999999999654e-01,1.093082974529424085e-04,-3.284330709668763552e-04
9.619999999999999662e-01,1.086452010951360680e-04,-3.279979616693957651e-04
9.629999999999999671e-01,1.079874661632154183e-04,-3.275576434444801193e-04
9.639999999999999680e-01,1.073351686629373235e-04,-3.271122661902891118e-04
9.649999999999999689e-01,1.066884025906990785e-04,-3.266618436997444628e-04
9.659999999999999698e-01,1.060472422294262513e-04,-3.262065253728024458e-04
9.669999999999999707e-01,1.054117867593483822e-04,-3.257464560999272707e-04
9.679999999999999716e-01,1.047821084699169548e-04,-3.252817841969203095e-04
9.689999999999999725e-01,1.041582592466550419e-04,-3.248125284940411796e-04
9.699999999999999734e-01,1.035403420890784471e-04,-3.243389634144811916e-04
9.709999999999999742e-01,1.029284072116427976e-04,-3.238611069536713374e-04
9.719999999999999751e-01,1.023225171932519846e-04,-3.233789752631693556e-04
9.729999999999999760e-01,1.017227336903111281e-04,-3.228928467179161834e-04
9.739999999999999769e-01,1.011291366553398357e-04,-3.224028645685536381e-04
9.749999999999999778e-01,1.005417479051271240e-04,-3.219090492576389805e-04
9.759999999999999787e-01,9.996064597256769846e-05,-3.214115432484832696e-04
9.769999999999999796e-01,9.938588295686593148e-05,-3.209104921101003254e-04
9.779999999999999805e-01,9.881746618070331957e-05,-3.204059170791120925e-04
9.789999999999999813e-01,9.825549045287914251e-05,-3.198980862323267727e-04
9.799999999999999822e-01,9.769995619479013673e-05,-3.193868908694018024e-04
9.809999999999999831e-01,9.715094954600774369e-05,-3.188727283103590083e-04
9.819999999999999840e-01,9.660847538705871870e-05,-3.183556174859721683e-04
9.829999999999999849e-01,9.607255827870257519e-05,-3.178354453533141044e-04
9.839999999999999858e-01,9.554327462442150048e-05,-3.173127363197183462e-04
9.849999999999999867e-01,9.502060458098401225e-05,-3.167872534920266464e-04
9.859999999999999876e-01,9.450461245438867913e-05,-3.162592632024567325e-04
9.869999999999999885e-01,9.399531866533645218e-05,-3.157289081120106481e-04
9.879999999999999893e-01,9.349272046142786746e-05,-3.151960771592434677e-04
9.889999999999999902e-01,9.299689020023598320e-05,-3.146612885817338012e-04
9.899999999999999911e-01,9.250780666108043512e-05,-3.141243046510784425e-04
9.909999999999999920e-01,9.202548858881858765e-05,-3.135852657875004210e-04
9.919999999999999929e-01,9.154998397208084424e-05,-3.130444346947427190e-04
9.929999999999999938e-01,9.108129780201691032e-05,-3.125019513107258002e-04
9.939999999999999947e-01,9.061942537685873115e-05,-3.119577022727011142e-04
9.949999999999999956e-01,9.016438829151267114e-05,-3.114119511890601783e-04
9.959999999999999964e-01,8.971621533150423431e-05,-3.108648325417999827e-04
9.969999999999999973e-01,8.927487624914594148e-05,-3.103162354282149428e-04
9.979999999999999982e-01,8.884042058411793070e-05,-3.097665429616804468e-04
9.989999999999999991e-01,8.841281763000954832e-05,-3.092156432012534346e-04
1.000000000000000000e+00,8.799209920871980560e-05,-3.086637933826073149e-04
1.002499999999999947e+00,8.697040969145357564e-05,-3.072803537102771583e-04
1.004999999999999893e+00,8.599173718483271950e-05,-3.058928487320878567e-04
1.007500000000000062e+00,8.505604260635334817e-05,-3.045027591367119400e-04
1.010000000000000009e+00,8.416329534734463098e-05,-3.031116611753169755e-04
1.012499999999999956e+00,8.331337269566888905e-05,-3.017211144538562979e-04
1.014999999999999902e+00,8.250613113852114325e-05,-3.003325298198574714e-04
1.017500000000000071e+00,8.174142704196448242e-05,-2.989474140777815940e-04
1.020000000000000018e+00,8.101905364746681763e-05,-2.975672542770369184e-04
1.022499999999999964e+00,8.033876353511313500e-05,-2.961933936201167948e-04
1.024999999999999911e+00,7.970033999384477691e-05,-2.948273880897797693e-04
1.027500000000000080e+00,7.910348017435877546e-05,-2.934706557012065954e-04
1.030000000000000027e+00,7.854788048485367928e-05,-2.921244682551781728e-04
1.032499999999999973e+00,7.803321181878874915e-05,-2.907903164851816211e-04
1.034999999999999920e+00,7.755912597812393615e-05,-2.894696669354240859e-04
1.037500000000000089e+00,7.712520697036196881e-05,-2.881638499467716811e-04
1.040000000000000036e+00,7.673108741122748827e-05,-2.868744032258991271e-04
1.042499999999999982e+00,7.637628500318354439e-05,-2.856026169069485199e-04
1.044999999999999929e+00,7.606032198749920422e-05,-2.843499941410287057e-04
1.047500000000000098e+00,7.578269668252013240e-05,-2.831180170550722614e-04
1.050000000000000044e+00,7.554283564678546830e-05,-2.819080369371566603e-04
1.052499999999999991e+00,7.534015388345854090e-05,-2.807217358789663758e-04
1.054999999999999938e+00,7.517397720472899429e-05,-2.795603188577580004e-04
1.057500000000000107e+00,7.504362912362155867e-05,-2.784255538862931726e-04
1.060000000000000053e+00,7.494832756941487237e-05,-2.773188536422989685e-04
1.062500000000000000e+00,7.488724799937452529e-05,-2.762418500163647361e-04
1.064999999999999947e+00,7.485947826680458745e-05,-2.751959387810786958e-04
1.067499999999999893e+00,7.486404436534368112e-05,-2.741827393111346493e-04
1.070000000000000062e+00,7.489988317806667913e-05,-2.732038682529618436e-04
1.072500000000000009e+00,7.496584074485216698e-05,-2.722608278296792354e-04
1.074999999999999956e+00,7.506065453628247674e-05,-2.713551252578284487e-04
1.077499999999999902e+00,7.518300650457215113e-05,-2.704884944459186595e-04
1.080000000000000071e+00,7.533141779033996309e-05,-2.696623439280258099e-04
1.082500000000000018e+00,7.550431571798868642e-05,-2.688780927516236114e-04
1.084999999999999964e+00,7.570001233380206738e-05,-2.681371753585573168e-04
1.087499999999999911e+00,7.591672338827252435e-05,-2.674409288661401193e-04
1.090000000000000080e+00,7.615256477649430143e-05,-2.667908207995420343e-04
1.092500000000000027e+00,7.640550759727412025e-05,-2.661877850645071411e-04
1.094999999999999973e+00,7.667343695918804646e-05,-2.656330025539615277e-04
1.097499999999999920e+00,7.695418653867984319e-05,-2.651273386755526474e-04
1.100000000000000089e+00,7.724547882405169397e-05,-2.646715781245712333e-04
1.102500000000000036e+00,7.754505454100115444e-05,-2.642664089309069118e-04
1.104999999999999982e+00,7.785059625026332329e-05,-2.639122125658112427e-04
1.107499999999999929e+00,7.815980154864262622e-05,-2.636090565034276316e-04
1.110000000000000098e+00,7.847048392750608533e-05,-2.633571242299526929e-04
1.112500000000000044e+00,7.878054790756504984e-05,-2.631561649647607770e-04
1.114999999999999991e+00,7.908805890416042473e-05,-2.630057060357063737e-04
1.117499999999999938e+00,7.939138299539430955e-05,-2.629053631672620146e-04
1.120000000000000107e+00,7.968915920548216023e-05,-2.628545116516958660e-04
1.122500000000000053e+00,7.998042540649189663e-05,-2.628522675430343815e-04
1.125000000000000000e+00,8.026470164255249226e-05,-2.628982434523517188e-04
1.127499999999999947e+00,8.054199350309020782e-05,-2.629916655069785354e-04
1.129999999999999893e+00,8.081296010512310172e-05,-2.631325552062858540e-04
1.132500000000000062e+00,8.107886780834026906e-05,-2.633211833779731882e-04
